time	count
0.00	0.00
5005750.00	1.00
5005778.00	0.00
5005833.00	1.00
5005899.00	0.00
5005931.00	1.00
5006117.00	0.00
5006764.00	1.00
5006824.00	0.00
5006856.00	1.00
5007127.00	0.00
5007157.00	1.00
5007190.00	0.00
5007216.00	1.00
5007222.00	0.00
5007252.00	1.00
5007265.00	0.00
5007288.00	1.00
5007296.00	0.00
5007318.00	1.00
5008510.00	0.00
5008545.00	1.00
5008555.00	0.00
5008576.00	1.00
5008588.00	0.00
5008608.00	1.00
5008619.00	0.00
5008637.00	1.00
5008646.00	0.00
5008669.00	1.00
5008677.00	0.00
5008714.00	1.00
5008725.00	0.00
5008751.00	1.00
5010212.00	0.00
5010268.00	1.00
5011058.00	0.00
5011089.00	1.00
5011097.00	0.00
5011114.00	1.00
5011190.00	0.00
5011212.00	1.00
5011232.00	0.00
5011249.00	1.00
5011267.00	0.00
5011284.00	1.00
5011294.00	0.00
5011330.00	1.00
5011343.00	0.00
5011366.00	1.00
5012004.00	0.00
5012036.00	1.00
5012047.00	0.00
5012068.00	1.00
5012082.00	0.00
5012101.00	1.00
5012121.00	0.00
5012141.00	1.00
5012152.00	0.00
5012170.00	1.00
5012194.00	0.00
5012214.00	1.00
5012222.00	0.00
5012271.00	1.00
5012531.00	0.00
5012552.00	1.00
5012560.00	0.00
5012578.00	1.00
5012593.00	0.00
5012622.00	1.00
5012626.00	0.00
5012647.00	1.00
5012662.00	0.00
5012684.00	1.00
5012745.00	0.00
5012769.00	1.00
5012777.00	0.00
5012796.00	1.00
5013487.00	0.00
5013520.00	1.00
5013529.00	0.00
5013543.00	1.00
5013562.00	0.00
5013599.00	1.00
5014013.00	0.00
5014042.00	1.00
5014053.00	0.00
5014072.00	1.00
5014086.00	0.00
5014105.00	1.00
5014580.00	0.00
5014616.00	1.00
5014629.00	0.00
5014637.00	1.00
5014656.00	0.00
5014676.00	1.00
5014867.00	0.00
5014917.00	1.00
5014926.00	0.00
5014944.00	1.00
5014956.00	0.00
5014975.00	1.00
5015165.00	0.00
5015188.00	1.00
5015198.00	0.00
5015217.00	1.00
5015228.00	0.00
5015247.00	1.00
5015445.00	0.00
5015505.00	1.00
5015514.00	0.00
5015532.00	1.00
5015544.00	0.00
5015563.00	1.00
5015731.00	0.00
5015756.00	1.00
5015765.00	0.00
5015784.00	1.00
5015795.00	0.00
5015813.00	1.00
5015983.00	0.00
5016007.00	1.00
5016016.00	0.00
5016033.00	1.00
5016043.00	0.00
5016063.00	1.00
5016239.00	0.00
5016264.00	1.00
5016272.00	0.00
5016290.00	1.00
5016304.00	0.00
5016322.00	1.00
5016547.00	0.00
5016576.00	1.00
5016587.00	0.00
5016607.00	1.00
5016623.00	0.00
5016643.00	1.00
5016869.00	0.00
5016897.00	1.00
5016907.00	0.00
5016927.00	1.00
5016941.00	0.00
5016980.00	1.00
5017233.00	0.00
5017261.00	1.00
5017273.00	0.00
5017292.00	1.00
5017308.00	0.00
5017327.00	1.00
5017540.00	0.00
5017564.00	1.00
5017572.00	0.00
5017584.00	1.00
5017596.00	0.00
5017608.00	1.00
5017775.00	0.00
5017795.00	1.00
5017802.00	0.00
5017817.00	1.00
5017829.00	0.00
5017844.00	1.00
5018013.00	0.00
5018033.00	1.00
5018040.00	0.00
5018057.00	1.00
5018072.00	0.00
5018086.00	1.00
5018239.00	0.00
5018258.00	1.00
5018264.00	0.00
5018278.00	1.00
5018288.00	0.00
5018301.00	1.00
5018512.00	0.00
5018533.00	1.00
5018539.00	0.00
5018555.00	1.00
5018566.00	0.00
5018581.00	1.00
5018775.00	0.00
5018805.00	1.00
5018816.00	0.00
5018833.00	1.00
5018849.00	0.00
5018871.00	1.00
5019043.00	0.00
5019069.00	1.00
5019078.00	0.00
5019093.00	1.00
5019103.00	0.00
