level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
2	5005750	5005778	#c7ff00	1.0	Deferred Enqueue Task	1					91
2	5005833	5005899	#ff4a00	1.0	Scheduler	4295000038					252
2	5005931	5006117	#a300ff	1.0	Task Physical Dependence Analysis	1					368
2	5006764	5006824	#00ff3f	1.0	Prepipeline Stage	3					549
2	5006856	5007127	#dfff00	1.0	Logical Dependence Analysis	3					550
2	5007157	5007190	#333399	1.0	Deferred Ready Trigger	3					369
2	5007216	5007222	#333399	1.0	Deferred Ready Trigger	4					93
2	5007252	5007265	#333399	1.0	Deferred Ready Trigger	5					551
2	5007288	5007296	#333399	1.0	Deferred Ready Trigger	6					739
2	5007318	5008510	#dfff00	1.0	Logical Dependence Analysis	7					552
2	5008545	5008555	#333399	1.0	Deferred Ready Trigger	7					253
2	5008576	5008588	#333399	1.0	Deferred Ready Trigger	8					553
2	5008608	5008619	#ff4a00	1.0	Scheduler	34359738368					255
2	5008637	5008646	#333399	1.0	Deferred Ready Trigger	10					7
2	5008669	5008677	#333399	1.0	Deferred Ready Trigger	11					554
2	5008714	5008725	#333399	1.0	Deferred Ready Trigger	12					555
2	5008751	5010212	#dfff00	1.0	Logical Dependence Analysis	19					9
2	5010268	5011058	#dfff00	1.0	Logical Dependence Analysis	35					11
2	5011089	5011097	#00ff3f	1.0	Prepipeline Stage	4					740
2	5011114	5011190	#00b7ff	1.0	Operation Physical Dependence Analysis	3					370
2	5011212	5011232	#00b7ff	1.0	Operation Physical Dependence Analysis	4					741
2	5011249	5011267	#00b7ff	1.0	Operation Physical Dependence Analysis	5					742
2	5011284	5011294	#00b7ff	1.0	Operation Physical Dependence Analysis	6					95
2	5011330	5011343	#00b7ff	1.0	Operation Physical Dependence Analysis	7					256
2	5011366	5011597	#a300ff	1.0	Task Physical Dependence Analysis	8					12
2	5011597	5011614	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	8					12
2	5011614	5011631	#a300ff	0.45	Task Physical Dependence Analysis (ready)	8					12
2	5011631	5012004	#a300ff	1.0	Task Physical Dependence Analysis	8					12
1	5011392	5011831	#ff00d7	1.0	Mapper Call map_task for 8	8					215
2	5012036	5012047	#333399	1.0	Deferred Ready Trigger	9					371
2	5012068	5012082	#ff4a00	1.0	Scheduler	38654705664					258
2	5012101	5012121	#00b7ff	1.0	Operation Physical Dependence Analysis	10					259
2	5012141	5012152	#00b7ff	1.0	Operation Physical Dependence Analysis	11					260
2	5012170	5012194	#00b7ff	1.0	Operation Physical Dependence Analysis	12					743
2	5012214	5012222	#00ff3f	1.0	Prepipeline Stage	44					261
2	5012271	5012531	#a300ff	1.0	Task Physical Dependence Analysis	9					372
2	5012552	5012560	#333399	1.0	Deferred Ready Trigger	13					744
2	5012578	5012593	#ff4a00	1.0	Scheduler	55834574848					557
2	5012622	5012626	#00ff3f	1.0	Prepipeline Stage	44					373
2	5012647	5012662	#006600	1.0	Post-Task Execution	8					558
2	5012684	5012745	#00fcff	1.0	Deferred Post-Task Execution	8					559
2	5012769	5012777	#00fcff	1.0	Deferred Post-Task Execution	9					745
2	5012796	5012894	#a300ff	1.0	Task Physical Dependence Analysis	13					560
2	5012894	5012899	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	13					560
2	5012899	5012904	#a300ff	0.45	Task Physical Dependence Analysis (ready)	13					560
2	5012904	5013052	#a300ff	1.0	Task Physical Dependence Analysis	13					560
2	5013052	5013056	#a300ff	0.15	Task Physical Dependence Analysis (waiting)	13					560
