time	count
0.00	0.00
5005838.00	0.17
5005878.00	0.00
5005925.00	0.17
5005954.00	0.00
5006117.00	0.17
5006143.00	0.33
5006161.00	0.17
5006858.00	0.33
5006892.00	0.17
5007154.00	0.33
5007156.00	0.17
5007214.00	0.33
5007215.00	0.17
5007257.00	0.33
5007258.00	0.17
5007284.00	0.33
5007289.00	0.17
5007313.00	0.33
5007330.00	0.17
5008398.00	0.00
5008541.00	0.17
5008543.00	0.00
5008576.00	0.17
5008577.00	0.00
5008605.00	0.17
5008606.00	0.00
5008635.00	0.17
5008637.00	0.00
5008673.00	0.17
5008674.00	0.00
5008698.00	0.17
5008712.00	0.00
5008746.00	0.17
5008747.00	0.00
5010253.00	0.17
5010256.00	0.00
5011092.00	0.17
5011093.00	0.00
5011119.00	0.17
5011121.00	0.00
5011210.00	0.17
5011212.00	0.00
5011249.00	0.17
5011250.00	0.00
5011283.00	0.17
5011284.00	0.00
5011314.00	0.17
5011315.00	0.00
5011362.00	0.17
5011366.00	0.00
5011592.00	0.17
5011596.00	0.00
5012010.00	0.17
5012035.00	0.33
5012037.00	0.17
5012067.00	0.33
5012068.00	0.17
5012099.00	0.33
5012101.00	0.17
5012138.00	0.33
5012140.00	0.17
5012167.00	0.33
5012177.00	0.17
5012216.00	0.33
5012218.00	0.17
5012230.00	0.00
5012238.00	0.17
5012239.00	0.00
5012249.00	0.17
5012251.00	0.00
5012532.00	0.17
5012546.00	0.33
5012547.00	0.17
5012578.00	0.33
5012585.00	0.17
5012588.00	0.00
5012611.00	0.17
5012613.00	0.00
5012616.00	0.17
5012617.00	0.00
5012645.00	0.17
5012651.00	0.00
5012681.00	0.17
5012682.00	0.00
5012768.00	0.17
5012769.00	0.00
5012797.00	0.17
5012799.00	0.00
5012894.00	0.17
5012895.00	0.00
5013056.00	0.00
5013412.00	0.17
5013415.00	0.00
5013482.00	0.17
5013483.00	0.00
5013516.00	0.17
5013517.00	0.00
5013548.00	0.17
5013551.00	0.00
5013576.00	0.00
5013597.00	0.17
5013599.00	0.00
5013651.00	0.17
5013654.00	0.17
5013704.00	0.17
5013957.00	0.17
5014037.00	0.33
5014039.00	0.17
5014068.00	0.33
5014069.00	0.17
5014104.00	0.33
5014105.00	0.17
5014210.00	0.33
5014211.00	0.17
5014510.00	0.33
5014511.00	0.17
5014586.00	0.33
5014587.00	0.17
5014616.00	0.33
5014618.00	0.17
5014635.00	0.33
5014636.00	0.17
5014639.00	0.33
5014647.00	0.17
5014673.00	0.33
5014674.00	0.17
5014897.00	0.33
5014898.00	0.17
5014943.00	0.17
5014973.00	0.17
5015185.00	0.33
5015187.00	0.17
5015213.00	0.33
5015214.00	0.17
5015245.00	0.17
5015477.00	0.33
5015486.00	0.17
5015530.00	0.33
5015535.00	0.17
5015560.00	0.33
5015561.00	0.17
5015751.00	0.33
5015753.00	0.17
5015781.00	0.33
5015782.00	0.17
5015812.00	0.17
5016002.00	0.33
5016005.00	0.17
5016032.00	0.17
5016061.00	0.17
5016261.00	0.33
5016262.00	0.17
5016290.00	0.33
5016291.00	0.17
5016318.00	0.33
5016319.00	0.17
5016576.00	0.33
5016577.00	0.17
5016607.00	0.33
5016610.00	0.17
5016638.00	0.33
5016639.00	0.17
5016893.00	0.33
5016894.00	0.17
5016922.00	0.33
5016923.00	0.17
5016964.00	0.17
5017260.00	0.33
5017261.00	0.17
5017286.00	0.17
5017328.00	0.33
5017331.00	0.17
5017564.00	0.33
5017577.00	0.17
5017583.00	0.33
5017584.00	0.17
5017607.00	0.33
5017608.00	0.17
5017799.00	0.33
5017807.00	0.17
5017817.00	0.33
5017818.00	0.17
5017845.00	0.33
5017846.00	0.17
5018029.00	0.33
5018030.00	0.17
5018062.00	0.33
5018067.00	0.17
5018087.00	0.33
5018088.00	0.17
5018257.00	0.33
5018258.00	0.17
5018277.00	0.33
5018282.00	0.17
5018300.00	0.33
5018307.00	0.17
5018527.00	0.33
5018528.00	0.17
5018552.00	0.17
5018579.00	0.33
5018580.00	0.17
5018806.00	0.17
5018833.00	0.33
5018834.00	0.17
5018871.00	0.33
5018872.00	0.17
5019068.00	0.33
5019069.00	0.17
5019093.00	0.33
5019095.00	0.17
5019115.00	0.33
5019119.00	0.17
5019296.00	0.33
5019297.00	0.17
5019323.00	0.33
5019324.00	0.17
5019346.00	0.33
5019353.00	0.17
5019526.00	0.33
5019527.00	0.17
5019556.00	0.33
5019557.00	0.17
5019587.00	0.33
5019588.00	0.17
5019753.00	0.33
5019754.00	0.17
5019777.00	0.33
5019778.00	0.17
5019804.00	0.33
5019808.00	0.17
5019989.00	0.33
5019990.00	0.17
5020014.00	0.33
5020015.00	0.17
5020040.00	0.17
5020298.00	0.33
5020304.00	0.17
5020316.00	0.33
5020317.00	0.17
5020354.00	0.33
5020358.00	0.17
5020523.00	0.33
5020524.00	0.17
5020549.00	0.17
5020574.00	0.33
5020578.00	0.17
5020788.00	0.33
5020789.00	0.17
5020827.00	0.17
5020852.00	0.17
5021042.00	0.33
5021045.00	0.17
5021065.00	0.33
5021066.00	0.17
5021089.00	0.33
5021090.00	0.17
5021258.00	0.33
5021262.00	0.17
5021283.00	0.17
5021306.00	0.33
5021307.00	0.17
