time	count
0.00	0.00
5005944.00	1.00
5005978.00	0.00
5006037.00	1.00
5006100.00	0.00
5006124.00	1.00
5006295.00	0.00
5007009.00	1.00
5007063.00	0.00
5007097.00	1.00
5007254.00	0.00
5007290.00	1.00
5007326.00	0.00
5007355.00	1.00
5007362.00	0.00
5007384.00	1.00
5007406.00	0.00
5007431.00	1.00
5007952.00	0.00
5007987.00	1.00
5007994.00	0.00
5008044.00	1.00
5008048.00	0.00
5008070.00	1.00
5008078.00	0.00
5008098.00	1.00
5008109.00	0.00
5008128.00	1.00
5008140.00	0.00
5008160.00	1.00
5008174.00	0.00
5008194.00	1.00
5008199.00	0.00
5008216.00	1.00
5008773.00	0.00
5008804.00	1.00
5008812.00	0.00
5008832.00	1.00
5008914.00	0.00
5008940.00	1.00
5008962.00	0.00
5008982.00	1.00
5008994.00	0.00
5009019.00	1.00
5009035.00	0.00
5009055.00	1.00
5009067.00	0.00
5009096.00	1.00
5009733.00	0.00
5009746.00	1.00
5009756.00	0.00
5009775.00	1.00
5009786.00	0.00
5009806.00	1.00
5009825.00	0.00
5009846.00	1.00
5009857.00	0.00
5009884.00	1.00
5009898.00	0.00
5009917.00	1.00
5009919.00	0.00
5009933.00	1.00
5010118.00	0.00
5010130.00	1.00
5010140.00	0.00
5010156.00	1.00
5010169.00	0.00
5010199.00	1.00
5010209.00	0.00
5010227.00	1.00
5010263.00	0.00
5010281.00	1.00
5010291.00	0.00
5010311.00	1.00
5011011.00	0.00
5011030.00	1.00
5011038.00	0.00
5011058.00	1.00
5011073.00	0.00
5011096.00	1.00
5011562.00	0.00
5011588.00	1.00
5011598.00	0.00
5011617.00	1.00
5011631.00	0.00
5011649.00	1.00
5012124.00	0.00
5012148.00	1.00
5012159.00	0.00
5012179.00	1.00
5012192.00	0.00
5012213.00	1.00
5012400.00	0.00
5012430.00	1.00
5012440.00	0.00
5012459.00	1.00
5012474.00	0.00
5012490.00	1.00
5012675.00	0.00
5012698.00	1.00
5012707.00	0.00
5012725.00	1.00
5012739.00	0.00
5012759.00	1.00
5012967.00	0.00
5012994.00	1.00
5013003.00	0.00
5013022.00	1.00
5013035.00	0.00
5013052.00	1.00
5013176.00	0.00
5013198.00	1.00
5013207.00	0.00
5013224.00	1.00
5013236.00	0.00
5013254.00	1.00
5013307.00	0.00
6061797.00	1.00
6061818.00	0.00
6061841.00	1.00
6061923.00	0.00
7562197.00	1.00
7562207.00	0.00
7562231.00	1.00
7562278.00	0.00
7562286.00	1.00
7562289.00	0.00
7562291.00	1.00
7562292.00	0.00
7562293.00	1.00
7562294.00	0.00
7562706.00	1.00
7562710.00	0.00
7562740.00	1.00
7562771.00	0.00
8620225.00	1.00
8620243.00	0.00
8620254.00	1.00
8620342.00	0.00
10131677.00	1.00
10131690.00	0.00
10131773.00	1.00
10131831.00	0.00
10131860.00	1.00
10131863.00	0.00
10132015.00	1.00
10132026.00	0.00
10132049.00	1.00
10132075.00	0.00
10132086.00	1.00
10132099.00	0.00
10132107.00	1.00
10132108.00	0.00
10132192.00	1.00
10132198.00	0.00
10132230.00	1.00
10132244.00	0.00
10132257.00	1.00
10132259.00	0.00
10132457.00	1.00
10132583.00	0.00
10132636.00	1.00
10132645.00	0.00
10132653.00	1.00
10133200.00	0.00
10133226.00	1.00
10133233.00	0.00
10133241.00	1.00
10133244.00	0.00
10133251.00	1.00
10133254.00	0.00
10133260.00	1.00
10133264.00	0.00
10133270.00	1.00
10133768.00	0.00
10133819.00	1.00
10134061.00	0.00
10134081.00	1.00
10134432.00	0.00
10134488.00	1.00
10134840.00	0.00
10134877.00	1.00
10135182.00	0.00
10135216.00	1.00
10135547.00	0.00
10135576.00	1.00
10135708.00	0.00
10135737.00	1.00
10135891.00	0.00
10135987.00	1.00
10136091.00	0.00
10136110.00	1.00
10136130.00	0.00
10136142.00	1.00
10136158.00	0.00
10136168.00	1.00
10136183.00	0.00
10136193.00	1.00
10136218.00	0.00
