time	count
0.00	0.00
5006046.00	0.17
5006058.00	0.00
5006123.00	0.17
5006159.00	0.00
5006299.00	0.17
5006320.00	0.33
5006339.00	0.17
5007090.00	0.33
5007091.00	0.17
5007295.00	0.33
5007297.00	0.17
5007351.00	0.33
5007371.00	0.17
5007380.00	0.33
5007385.00	0.17
5007426.00	0.17
5007835.00	0.00
5007974.00	0.17
5007982.00	0.00
5008020.00	0.17
5008021.00	0.00
5008067.00	0.17
5008068.00	0.00
5008093.00	0.17
5008094.00	0.00
5008127.00	0.17
5008129.00	0.00
5008158.00	0.17
5008170.00	0.00
5008192.00	0.17
5008193.00	0.00
5008214.00	0.17
5008216.00	0.00
5008805.00	0.17
5008806.00	0.00
5008827.00	0.17
5008828.00	0.00
5008941.00	0.17
5008942.00	0.00
5008980.00	0.17
5008982.00	0.00
5009019.00	0.17
5009020.00	0.00
5009058.00	0.17
5009065.00	0.00
5009095.00	0.17
5009096.00	0.00
5009311.00	0.17
5009314.00	0.00
5009737.00	0.17
5009745.00	0.33
5009761.00	0.17
5009773.00	0.33
5009774.00	0.17
5009805.00	0.33
5009807.00	0.17
5009843.00	0.33
5009844.00	0.17
5009883.00	0.33
5009884.00	0.17
5009914.00	0.33
5009925.00	0.17
5009933.00	0.33
5009949.00	0.17
5009971.00	0.00
5009998.00	0.17
5010000.00	0.00
5010120.00	0.17
5010128.00	0.33
5010129.00	0.17
5010155.00	0.33
5010156.00	0.17
5010160.00	0.00
5010182.00	0.17
5010183.00	0.00
5010196.00	0.17
5010197.00	0.00
5010224.00	0.17
5010226.00	0.00
5010279.00	0.17
5010286.00	0.00
5010308.00	0.17
5010309.00	0.00
5010401.00	0.00
5010539.00	0.17
5010540.00	0.00
5010903.00	0.17
5010905.00	0.00
5010938.00	0.17
5010939.00	0.00
5010967.00	0.17
5010968.00	0.00
5010991.00	0.00
5011010.00	0.17
5011026.00	0.33
5011029.00	0.17
5011055.00	0.33
5011056.00	0.17
5011094.00	0.33
5011095.00	0.17
5011206.00	0.33
5011207.00	0.17
5011505.00	0.17
5011585.00	0.33
5011588.00	0.17
5011614.00	0.33
5011615.00	0.17
5011645.00	0.33
5011647.00	0.17
5011754.00	0.17
5012033.00	0.33
5012034.00	0.17
5012061.00	0.17
5012088.00	0.33
5012089.00	0.17
5012142.00	0.33
5012144.00	0.17
5012176.00	0.33
5012177.00	0.17
5012209.00	0.33
5012210.00	0.17
5012429.00	0.33
5012430.00	0.17
5012455.00	0.33
5012456.00	0.17
5012488.00	0.33
5012489.00	0.17
5012696.00	0.33
5012698.00	0.17
5012725.00	0.33
5012733.00	0.17
5012759.00	0.17
5012988.00	0.33
5012989.00	0.17
5013018.00	0.33
5013019.00	0.17
5013049.00	0.33
5013050.00	0.17
5013197.00	0.33
5013199.00	0.17
5013222.00	0.33
5013223.00	0.17
5013251.00	0.17
5013335.00	0.33
5013337.00	0.17
6061756.00	0.00
6061812.00	0.17
6061820.00	0.33
6061825.00	0.17
6061836.00	0.33
6061838.00	0.17
6061946.00	0.33
6061947.00	0.17
7562190.00	0.00
7562236.00	0.17
7562701.00	0.00
7562721.00	0.17
7562724.00	0.00
7562743.00	0.17
7562747.00	0.33
7562750.00	0.17
7562785.00	0.33
7562787.00	0.17
8620211.00	0.00
8620264.00	0.17
8620289.00	0.33
8620309.00	0.17
8620317.00	0.33
8620321.00	0.17
8620368.00	0.33
8620373.00	0.17
10131669.00	0.00
10131715.00	0.17
10131720.00	0.00
10131748.00	0.17
10131752.00	0.33
10131755.00	0.17
10131906.00	0.00
10131935.00	0.17
10131973.00	0.00
10131984.00	0.17
10131986.00	0.00
10131989.00	0.17
10131995.00	0.00
10132051.00	0.17
10132053.00	0.00
10132085.00	0.17
10132086.00	0.00
10132094.00	0.17
10132186.00	0.00
10132213.00	0.17
10132224.00	0.00
10132227.00	0.17
10132233.00	0.00
10132250.00	0.17
10132577.00	0.00
10132601.00	0.17
10132604.00	0.00
10132874.00	0.17
10132877.00	0.00
10132883.00	0.00
10133314.00	0.17
10133327.00	0.00
10133332.00	0.17
10133333.00	0.00
10133335.00	0.17
10133336.00	0.00
10133338.00	0.17
10133339.00	0.00
10133341.00	0.17
10133342.00	0.00
10133823.00	0.17
10133826.00	0.00
10134083.00	0.17
10134100.00	0.00
10134483.00	0.17
10134490.00	0.00
10134876.00	0.17
10134882.00	0.00
10135219.00	0.17
10135222.00	0.00
10135577.00	0.17
10135581.00	0.00
10135735.00	0.17
10135737.00	0.00
10135909.00	0.17
10135912.00	0.00
10136040.00	0.17
10136048.00	0.00
10136108.00	0.17
10136110.00	0.00
10136126.00	0.17
10136127.00	0.00
10136138.00	0.17
10136139.00	0.00
10136155.00	0.17
10136156.00	0.00
10136165.00	0.17
10136166.00	0.00
10136179.00	0.00
10136335.00	0.17
10136354.00	0.00
10136357.00	0.17
10136358.00	0.00
10136360.00	0.00
