time	count
0.00	0.00
5005614.00	0.17
5005639.00	0.00
5005690.00	0.17
5005717.00	0.00
5005872.00	0.17
5005879.00	0.33
5005881.00	0.17
5006587.00	0.33
5006599.00	0.17
5006907.00	0.33
5006937.00	0.17
5007031.00	0.33
5007034.00	0.17
5007064.00	0.33
5007085.00	0.17
5007118.00	0.33
5007119.00	0.17
5007140.00	0.33
5007141.00	0.17
5008722.00	0.00
5008759.00	0.17
5008761.00	0.00
5008806.00	0.17
5008815.00	0.00
5008872.00	0.17
5008874.00	0.00
5008903.00	0.17
5008904.00	0.00
5008946.00	0.17
5008947.00	0.00
5008973.00	0.17
5008974.00	0.00
5009000.00	0.17
5009001.00	0.00
5010701.00	0.17
5010704.00	0.00
5011778.00	0.17
5011808.00	0.00
5011815.00	0.17
5011817.00	0.00
5011996.00	0.17
5011998.00	0.00
5012055.00	0.17
5012057.00	0.00
5012087.00	0.17
5012088.00	0.00
5012132.00	0.17
5012133.00	0.00
5012148.00	0.00
5012445.00	0.17
5012450.00	0.00
5012944.00	0.17
5012947.00	0.33
5012956.00	0.17
5012975.00	0.33
5012978.00	0.17
5013010.00	0.33
5013014.00	0.17
5013056.00	0.33
5013057.00	0.17
5013100.00	0.33
5013109.00	0.17
5013110.00	0.00
5013153.00	0.17
5013156.00	0.00
5013159.00	0.00
5013193.00	0.17
5013196.00	0.00
5013383.00	0.17
5013404.00	0.33
5013406.00	0.17
5013439.00	0.33
5013441.00	0.17
5013442.00	0.00
5013469.00	0.17
5013472.00	0.00
5013477.00	0.17
5013478.00	0.00
5013519.00	0.17
5013520.00	0.00
5013588.00	0.17
5013589.00	0.00
5013626.00	0.17
5013627.00	0.00
5013653.00	0.00
5013756.00	0.17
5013757.00	0.00
5013921.00	0.00
5014272.00	0.17
5014274.00	0.00
5014317.00	0.17
5014318.00	0.00
5014406.00	0.17
5014408.00	0.00
5014436.00	0.00
5014461.00	0.17
5014464.00	0.00
5014487.00	0.17
5014488.00	0.00
5014501.00	0.17
5014507.00	0.33
5014509.00	0.17
5014630.00	0.17
5014886.00	0.33
5014887.00	0.17
5014962.00	0.33
5014964.00	0.17
5015024.00	0.33
5015026.00	0.17
5015055.00	0.33
5015065.00	0.17
5015161.00	0.17
5015459.00	0.33
5015460.00	0.17
5015499.00	0.33
5015500.00	0.17
5015523.00	0.17
5015556.00	0.33
5015558.00	0.17
5015608.00	0.33
5015609.00	0.17
5015639.00	0.17
5015847.00	0.33
5015848.00	0.17
5015873.00	0.33
5015875.00	0.17
5015896.00	0.33
5015906.00	0.17
5016105.00	0.33
5016107.00	0.17
5016132.00	0.33
5016133.00	0.17
5016157.00	0.33
5016158.00	0.17
5016367.00	0.33
5016368.00	0.17
5016392.00	0.33
5016393.00	0.17
5016419.00	0.33
5016420.00	0.17
5016615.00	0.33
5016617.00	0.17
5016641.00	0.33
5016642.00	0.17
5016668.00	0.33
5016669.00	0.17
5016843.00	0.33
5016850.00	0.17
5016869.00	0.33
5016871.00	0.17
5016896.00	0.33
5016897.00	0.17
5017067.00	0.33
5017069.00	0.17
5017093.00	0.33
5017095.00	0.17
5017130.00	0.33
5017132.00	0.17
5017275.00	0.33
5017283.00	0.17
5017300.00	0.33
5017301.00	0.17
5017318.00	0.33
5017319.00	0.17
5017456.00	0.33
5017457.00	0.17
5017481.00	0.33
5017482.00	0.17
5017503.00	0.33
5017504.00	0.17
5017641.00	0.33
5017642.00	0.17
5017670.00	0.33
5017672.00	0.17
5017692.00	0.33
5017693.00	0.17
5017825.00	0.33
5017826.00	0.17
5017851.00	0.33
5017861.00	0.17
5017868.00	0.33
5017869.00	0.17
5017997.00	0.33
5017998.00	0.17
5018021.00	0.33
5018027.00	0.17
5018040.00	0.33
5018047.00	0.17
5018174.00	0.33
5018175.00	0.17
5018195.00	0.33
5018196.00	0.17
5018220.00	0.33
5018221.00	0.17
5018343.00	0.33
5018344.00	0.17
5018365.00	0.33
5018367.00	0.17
5018387.00	0.33
5018388.00	0.17
5018549.00	0.33
5018555.00	0.17
5018569.00	0.17
5018595.00	0.33
5018596.00	0.17
5018733.00	0.17
5018753.00	0.33
5018754.00	0.17
5018778.00	0.33
5018781.00	0.17
5018904.00	0.33
5018908.00	0.17
5018928.00	0.33
5018929.00	0.17
5018954.00	0.17
5019084.00	0.33
5019085.00	0.17
5019107.00	0.33
5019108.00	0.17
5019131.00	0.33
5019136.00	0.17
5019269.00	0.33
5019270.00	0.17
5019290.00	0.33
5019291.00	0.17
5019313.00	0.33
5019314.00	0.17
5019444.00	0.33
5019450.00	0.17
5019470.00	0.33
5019471.00	0.17
5019496.00	0.33
5019497.00	0.17
5019624.00	0.33
5019625.00	0.17
5019648.00	0.33
5019650.00	0.17
5019674.00	0.33
5019675.00	0.17
