time	count
0.00	0.00
5005522.00	1.00
5005562.00	0.00
5005607.00	1.00
5005663.00	0.00
5005687.00	1.00
5005866.00	0.00
5006503.00	1.00
5006555.00	0.00
5006585.00	1.00
5006873.00	0.00
5006915.00	1.00
5006986.00	0.00
5007028.00	1.00
5007040.00	0.00
5007067.00	1.00
5007081.00	0.00
5007117.00	1.00
5007125.00	0.00
5007146.00	1.00
5008722.00	0.00
5008760.00	1.00
5008769.00	0.00
5008836.00	1.00
5008846.00	0.00
5008869.00	1.00
5008885.00	0.00
5008904.00	1.00
5008917.00	0.00
5008942.00	1.00
5008954.00	0.00
5008974.00	1.00
5008981.00	0.00
5009001.00	1.00
5010655.00	0.00
5010699.00	1.00
5011744.00	0.00
5011777.00	1.00
5011786.00	0.00
5011799.00	1.00
5011950.00	0.00
5011994.00	1.00
5012025.00	0.00
5012052.00	1.00
5012070.00	0.00
5012089.00	1.00
5012104.00	0.00
5012126.00	1.00
5012138.00	0.00
5012149.00	1.00
5012932.00	0.00
5012942.00	1.00
5012957.00	0.00
5012977.00	1.00
5012993.00	0.00
5013014.00	1.00
5013038.00	0.00
5013061.00	1.00
5013082.00	0.00
5013105.00	1.00
5013121.00	0.00
5013160.00	1.00
5013169.00	0.00
5013182.00	1.00
5013383.00	0.00
5013405.00	1.00
5013416.00	0.00
5013434.00	1.00
5013449.00	0.00
5013482.00	1.00
5013497.00	0.00
5013521.00	1.00
5013568.00	0.00
5013594.00	1.00
5013606.00	0.00
5013632.00	1.00
5013634.00	0.00
5013659.00	1.00
5014385.00	0.00
5014408.00	1.00
5014417.00	0.00
5014459.00	1.00
5014475.00	0.00
5014510.00	1.00
5014930.00	0.00
5014992.00	1.00
5015003.00	0.00
5015022.00	1.00
5015036.00	0.00
5015052.00	1.00
5015521.00	0.00
5015579.00	1.00
5015588.00	0.00
5015606.00	1.00
5015621.00	0.00
5015638.00	1.00
5015826.00	0.00
5015848.00	1.00
5015857.00	0.00
5015873.00	1.00
5015883.00	0.00
5015900.00	1.00
5016082.00	0.00
5016108.00	1.00
5016116.00	0.00
5016130.00	1.00
5016143.00	0.00
5016158.00	1.00
5016347.00	0.00
5016370.00	1.00
5016378.00	0.00
5016394.00	1.00
5016405.00	0.00
5016420.00	1.00
5016586.00	0.00
5016616.00	1.00
5016627.00	0.00
5016645.00	1.00
5016657.00	0.00
5016673.00	1.00
5016825.00	0.00
5016845.00	1.00
5016854.00	0.00
5016874.00	1.00
5016883.00	0.00
5016900.00	1.00
5017049.00	0.00
5017070.00	1.00
5017078.00	0.00
5017094.00	1.00
5017105.00	0.00
5017126.00	1.00
5017257.00	0.00
5017277.00	1.00
5017283.00	0.00
5017300.00	1.00
5017309.00	0.00
5017320.00	1.00
5017435.00	0.00
5017459.00	1.00
5017464.00	0.00
5017480.00	1.00
5017490.00	0.00
5017505.00	1.00
5017618.00	0.00
5017650.00	1.00
5017656.00	0.00
5017669.00	1.00
5017678.00	0.00
5017692.00	1.00
5017809.00	0.00
5017825.00	1.00
5017832.00	0.00
5017849.00	1.00
5017857.00	0.00
5017867.00	1.00
5017981.00	0.00
5017997.00	1.00
5018006.00	0.00
5018020.00	1.00
5018026.00	0.00
5018041.00	1.00
5018158.00	0.00
5018174.00	1.00
5018180.00	0.00
5018195.00	1.00
5018203.00	0.00
5018218.00	1.00
5018326.00	0.00
5018341.00	1.00
5018348.00	0.00
5018363.00	1.00
5018372.00	0.00
5018386.00	1.00
5018534.00	0.00
5018549.00	1.00
5018555.00	0.00
5018571.00	1.00
5018579.00	0.00
5018593.00	1.00
5018714.00	0.00
5018735.00	1.00
5018741.00	0.00
5018756.00	1.00
5018765.00	0.00
5018780.00	1.00
5018889.00	0.00
5018906.00	1.00
5018915.00	0.00
5018933.00	1.00
5018940.00	0.00
5018956.00	1.00
5019069.00	0.00
5019088.00	1.00
5019094.00	0.00
5019109.00	1.00
5019117.00	0.00
5019133.00	1.00
5019252.00	0.00
5019269.00	1.00
5019275.00	0.00
5019291.00	1.00
5019300.00	0.00
5019317.00	1.00
5019424.00	0.00
5019449.00	1.00
5019456.00	0.00
5019470.00	1.00
5019479.00	0.00
5019492.00	1.00
5019606.00	0.00
5019624.00	1.00
5019631.00	0.00
5019647.00	1.00
5019657.00	0.00
5019672.00	1.00
5019798.00	0.00
5019817.00	1.00
5019826.00	0.00
5019841.00	1.00
5019849.00	0.00
5019869.00	1.00
5019976.00	0.00
5019994.00	1.00
5020000.00	0.00
5020019.00	1.00
5020029.00	0.00
5020040.00	1.00
5020152.00	0.00
5020175.00	1.00
5020182.00	0.00
5020195.00	1.00
5020203.00	0.00
5020218.00	1.00
5020336.00	0.00
5020360.00	1.00
5020367.00	0.00
5020393.00	1.00
5020402.00	0.00
5020415.00	1.00
5020528.00	0.00
5020546.00	1.00
5020555.00	0.00
5020574.00	1.00
5020583.00	0.00
5020596.00	1.00
5020716.00	0.00
5020735.00	1.00
5020742.00	0.00
5020766.00	1.00
5020773.00	0.00
5020790.00	1.00
5020934.00	0.00
5020956.00	1.00
5020962.00	0.00
5020978.00	1.00
5020988.00	0.00
5021003.00	1.00
5021086.00	0.00
5021107.00	1.00
5021113.00	0.00
5021128.00	1.00
5021136.00	0.00
5021148.00	1.00
5021184.00	0.00
5294509.00	1.00
5294534.00	0.00
5294562.00	1.00
5294630.00	0.00
5671565.00	1.00
5671593.00	0.00
5671628.00	1.00
5671686.00	0.00
5671712.00	1.00
5671718.00	0.00
5671768.00	1.00
5671803.00	0.00
5927180.00	1.00
5927210.00	0.00
5927247.00	1.00
5927323.00	0.00
6297597.00	1.00
6297632.00	0.00
6297687.00	1.00
6297754.00	0.00
6297783.00	1.00
6297793.00	0.00
6297823.00	1.00
6297855.00	0.00
6552913.00	1.00
6552942.00	0.00
6552979.00	1.00
6553031.00	0.00
6926813.00	1.00
6926851.00	0.00
6926886.00	1.00
6926951.00	0.00
6926980.00	1.00
6927013.00	0.00
7182108.00	1.00
7182135.00	0.00
7182165.00	1.00
7182213.00	0.00
7182230.00	1.00
7182234.00	0.00
7565029.00	1.00
7565060.00	0.00
7565155.00	1.00
7565211.00	0.00
7565236.00	1.00
7565246.00	0.00
7565267.00	1.00
7565290.00	0.00
7821906.00	1.00
7821935.00	0.00
7821968.00	1.00
7822020.00	0.00
