time	count
0.00	0.00
5006274.00	0.17
5006282.00	0.00
5006349.00	0.17
5006375.00	0.00
5006494.00	0.17
5006513.00	0.33
5006530.00	0.17
5007138.00	0.33
5007139.00	0.17
5007389.00	0.33
5007390.00	0.17
5007425.00	0.33
5007447.00	0.17
5007465.00	0.33
5007468.00	0.17
5007531.00	0.33
5007532.00	0.17
5007557.00	0.33
5007558.00	0.17
5007591.00	0.33
5007592.00	0.17
5008816.00	0.33
5008832.00	0.17
5008862.00	0.33
5008865.00	0.17
5008878.00	0.33
5008879.00	0.17
5008905.00	0.33
5008910.00	0.17
5008941.00	0.33
5008942.00	0.17
5008969.00	0.33
5008970.00	0.17
5008986.00	0.00
5010219.00	0.17
5010225.00	0.00
5011034.00	0.17
5011036.00	0.00
5011067.00	0.17
5011070.00	0.00
5011304.00	0.17
5011309.00	0.00
5011823.00	0.17
5011827.00	0.33
5011850.00	0.17
5011925.00	0.33
5011927.00	0.17
5011971.00	0.33
5011972.00	0.17
5012002.00	0.33
5012003.00	0.17
5012039.00	0.33
5012040.00	0.17
5012046.00	0.00
5012087.00	0.17
5012091.00	0.00
5012118.00	0.17
5012120.00	0.00
5012172.00	0.17
5012173.00	0.00
5012213.00	0.17
5012215.00	0.00
5012258.00	0.17
5012259.00	0.00
5012292.00	0.17
5012293.00	0.00
5012325.00	0.17
5012333.00	0.00
5012353.00	0.17
5012354.00	0.00
5012382.00	0.00
5012450.00	0.17
5012451.00	0.00
5012803.00	0.17
5012807.00	0.00
5012851.00	0.17
5012852.00	0.00
5012886.00	0.17
5012887.00	0.00
5012934.00	0.17
5012935.00	0.00
5012937.00	0.17
5012938.00	0.00
5012970.00	0.00
5012982.00	0.17
5012983.00	0.00
5013002.00	0.17
5013003.00	0.00
5013013.00	0.17
5013015.00	0.00
5013040.00	0.17
5013041.00	0.00
5013099.00	0.00
5013140.00	0.17
5013141.00	0.00
5013149.00	0.17
5013217.00	0.00
5013236.00	0.17
5013238.00	0.00
5013322.00	0.17
5013326.00	0.33
5013327.00	0.17
5013357.00	0.33
5013363.00	0.17
5013392.00	0.33
5013398.00	0.17
5013408.00	0.33
5013409.00	0.17
5013471.00	0.17
5013696.00	0.33
5013697.00	0.17
5013726.00	0.33
5013727.00	0.17
5013759.00	0.33
5013760.00	0.17
5013980.00	0.33
5013981.00	0.17
5014009.00	0.17
5014040.00	0.33
5014041.00	0.17
5014263.00	0.17
5014286.00	0.33
5014287.00	0.17
5014313.00	0.33
5014314.00	0.17
5014549.00	0.33
5014554.00	0.17
5014573.00	0.33
5014579.00	0.17
5014606.00	0.33
5014607.00	0.17
5014811.00	0.33
5014812.00	0.17
5014837.00	0.33
5014841.00	0.17
5014863.00	0.33
5014864.00	0.17
5015066.00	0.33
5015067.00	0.17
5015093.00	0.33
5015094.00	0.17
5015121.00	0.33
5015122.00	0.17
5015321.00	0.33
5015326.00	0.17
5015351.00	0.33
5015352.00	0.17
5015375.00	0.33
5015380.00	0.17
5015565.00	0.33
5015566.00	0.17
5015587.00	0.33
5015588.00	0.17
5015615.00	0.17
5015820.00	0.17
5015846.00	0.33
5015848.00	0.17
5015870.00	0.33
5015871.00	0.17
5016080.00	0.33
5016081.00	0.17
5016103.00	0.33
5016104.00	0.17
5016132.00	0.33
5016133.00	0.17
5016323.00	0.17
5016346.00	0.17
5016372.00	0.33
5016375.00	0.17
5016574.00	0.33
5016575.00	0.17
5016604.00	0.33
5016605.00	0.17
5016631.00	0.33
5016632.00	0.17
5016831.00	0.33
5016834.00	0.17
5016852.00	0.33
5016855.00	0.17
5016878.00	0.33
5016879.00	0.17
5017098.00	0.33
5017099.00	0.17
5017124.00	0.33
5017125.00	0.17
5017150.00	0.33
5017151.00	0.17
5017364.00	0.33
5017365.00	0.17
5017384.00	0.33
5017385.00	0.17
5017413.00	0.17
5017616.00	0.33
5017618.00	0.17
5017677.00	0.33
5017683.00	0.17
5017686.00	0.33
5017687.00	0.17
5017879.00	0.33
5017881.00	0.17
5017884.00	0.33
5017885.00	0.17
