time	count
0.00	0.00
5006199.00	1.00
5006225.00	0.00
5006270.00	1.00
5006323.00	0.00
5006348.00	1.00
5006495.00	0.00
5007006.00	1.00
5007106.00	0.00
5007137.00	1.00
5007352.00	0.00
5007386.00	1.00
5007401.00	0.00
5007429.00	1.00
5007444.00	0.00
5007471.00	1.00
5007501.00	0.00
5007530.00	1.00
5007539.00	0.00
5007562.00	1.00
5007570.00	0.00
5007596.00	1.00
5008782.00	0.00
5008817.00	1.00
5008826.00	0.00
5008850.00	1.00
5008856.00	0.00
5008880.00	1.00
5008886.00	0.00
5008909.00	1.00
5008917.00	0.00
5008941.00	1.00
5008950.00	0.00
5008974.00	1.00
5010192.00	0.00
5010221.00	1.00
5011007.00	0.00
5011036.00	1.00
5011042.00	0.00
5011064.00	1.00
5011814.00	0.00
5011828.00	1.00
5011880.00	0.00
5011922.00	1.00
5011939.00	0.00
5011968.00	1.00
5011984.00	0.00
5012000.00	1.00
5012011.00	0.00
5012081.00	1.00
5012093.00	0.00
5012139.00	1.00
5012150.00	0.00
5012180.00	1.00
5012190.00	0.00
5012213.00	1.00
5012234.00	0.00
5012256.00	1.00
5012268.00	0.00
5012291.00	1.00
5012308.00	0.00
5012327.00	1.00
5012332.00	0.00
5012355.00	1.00
5012364.00	0.00
5012386.00	1.00
5012428.00	0.00
5012451.00	1.00
5012909.00	0.00
5012943.00	1.00
5012951.00	0.00
5012988.00	1.00
5013001.00	0.00
5013013.00	1.00
5013015.00	0.00
5013045.00	1.00
5013318.00	0.00
5013328.00	1.00
5013339.00	0.00
5013360.00	1.00
5013372.00	0.00
5013392.00	1.00
5013397.00	0.00
5013412.00	1.00
5013452.00	0.00
5013472.00	1.00
5013674.00	0.00
5013701.00	1.00
5013709.00	0.00
5013730.00	1.00
5013743.00	0.00
5013762.00	1.00
5013958.00	0.00
5013983.00	1.00
5013992.00	0.00
5014012.00	1.00
5014024.00	0.00
5014044.00	1.00
5014231.00	0.00
5014263.00	1.00
5014271.00	0.00
5014287.00	1.00
5014299.00	0.00
5014317.00	1.00
5014518.00	0.00
5014548.00	1.00
5014557.00	0.00
5014574.00	1.00
5014587.00	0.00
5014603.00	1.00
5014785.00	0.00
5014812.00	1.00
5014820.00	0.00
5014838.00	1.00
5014849.00	0.00
5014867.00	1.00
5015048.00	0.00
5015070.00	1.00
5015078.00	0.00
5015094.00	1.00
5015106.00	0.00
5015121.00	1.00
5015298.00	0.00
5015320.00	1.00
5015329.00	0.00
5015351.00	1.00
5015362.00	0.00
5015377.00	1.00
5015545.00	0.00
5015567.00	1.00
5015574.00	0.00
5015591.00	1.00
5015602.00	0.00
5015617.00	1.00
5015795.00	0.00
5015820.00	1.00
5015828.00	0.00
5015845.00	1.00
5015856.00	0.00
5015872.00	1.00
5016056.00	0.00
5016081.00	1.00
5016089.00	0.00
5016107.00	1.00
5016118.00	0.00
5016133.00	1.00
5016298.00	0.00
5016323.00	1.00
5016332.00	0.00
5016348.00	1.00
5016359.00	0.00
5016379.00	1.00
5016556.00	0.00
5016579.00	1.00
5016587.00	0.00
5016604.00	1.00
5016616.00	0.00
5016631.00	1.00
5016810.00	0.00
5016832.00	1.00
5016840.00	0.00
5016855.00	1.00
5016866.00	0.00
5016882.00	1.00
5017081.00	0.00
5017104.00	1.00
5017112.00	0.00
5017127.00	1.00
5017139.00	0.00
5017154.00	1.00
5017338.00	0.00
5017365.00	1.00
5017373.00	0.00
5017389.00	1.00
5017400.00	0.00
5017416.00	1.00
5017590.00	0.00
5017615.00	1.00
5017623.00	0.00
5017634.00	1.00
5017645.00	0.00
5017651.00	1.00
5017818.00	0.00
5017836.00	1.00
5017844.00	0.00
5017851.00	1.00
5017862.00	0.00
5017867.00	1.00
5018053.00	0.00
5018077.00	1.00
5018085.00	0.00
5018104.00	1.00
5018117.00	0.00
5018177.00	1.00
5018312.00	0.00
5018332.00	1.00
5018338.00	0.00
5018360.00	1.00
5018370.00	0.00
5018384.00	1.00
5018507.00	0.00
5018526.00	1.00
5018534.00	0.00
5018552.00	1.00
5018561.00	0.00
5018577.00	1.00
5018715.00	0.00
5018739.00	1.00
5018745.00	0.00
5018759.00	1.00
5018770.00	0.00
5018784.00	1.00
5018914.00	0.00
5018936.00	1.00
5018942.00	0.00
5018958.00	1.00
5018968.00	0.00
5018985.00	1.00
5019111.00	0.00
5019135.00	1.00
5019142.00	0.00
5019155.00	1.00
5019166.00	0.00
5019180.00	1.00
5019313.00	0.00
5019336.00	1.00
5019343.00	0.00
5019360.00	1.00
5019369.00	0.00
5019381.00	1.00
5019490.00	0.00
5019508.00	1.00
5019515.00	0.00
5019527.00	1.00
5019534.00	0.00
5019552.00	1.00
5019668.00	0.00
5019691.00	1.00
5019696.00	0.00
5019709.00	1.00
5019716.00	0.00
5019734.00	1.00
5019842.00	0.00
5019863.00	1.00
5019869.00	0.00
5019882.00	1.00
5019888.00	0.00
5019900.00	1.00
5020009.00	0.00
5020027.00	1.00
5020035.00	0.00
5020047.00	1.00
5020057.00	0.00
5020070.00	1.00
5020173.00	0.00
5020194.00	1.00
5020201.00	0.00
5020214.00	1.00
5020223.00	0.00
5020239.00	1.00
5020390.00	0.00
5020408.00	1.00
5020414.00	0.00
5020432.00	1.00
5020440.00	0.00
5020456.00	1.00
5020489.00	0.00
5020510.00	1.00
5020511.00	0.00
5256880.00	1.00
5256892.00	0.00
5256919.00	1.00
5256957.00	0.00
5256963.00	1.00
5256967.00	0.00
5256968.00	1.00
5256969.00	0.00
5256971.00	1.00
5256972.00	0.00
5906719.00	1.00
5906731.00	0.00
5906744.00	1.00
5906784.00	0.00
5906792.00	1.00
5906795.00	0.00
5906797.00	1.00
5906798.00	0.00
5906799.00	1.00
5906800.00	0.00
5907336.00	1.00
5907342.00	0.00
5907379.00	1.00
5907415.00	0.00
6146798.00	1.00
6146813.00	0.00
6146847.00	1.00
6146898.00	0.00
6797024.00	1.00
6797057.00	0.00
6797088.00	1.00
6797138.00	0.00
6797172.00	1.00
6797197.00	0.00
7038285.00	1.00
7038304.00	0.00
7038335.00	1.00
7038391.00	0.00
7696421.00	1.00
7696431.00	0.00
7696457.00	1.00
7696503.00	0.00
7696509.00	1.00
7696512.00	0.00
7696514.00	1.00
7696515.00	0.00
7696852.00	1.00
7696857.00	0.00
7697073.00	1.00
7697101.00	0.00
7937978.00	1.00
7937993.00	0.00
7938026.00	1.00
7938076.00	0.00
8591064.00	1.00
8591085.00	0.00
8591114.00	1.00
8591163.00	0.00
8591188.00	1.00
8591208.00	0.00
8833655.00	1.00
8833671.00	0.00
8833702.00	1.00
8833750.00	0.00
8833762.00	1.00
8833764.00	0.00
9495201.00	1.00
9495225.00	0.00
9495254.00	1.00
9495307.00	0.00
9495335.00	1.00
9495353.00	0.00
9747716.00	1.00
9747733.00	0.00
9747761.00	1.00
9747811.00	0.00
10421902.00	1.00
10421926.00	0.00
10421965.00	1.00
10422013.00	0.00
10422039.00	1.00
10422063.00	0.00
10671505.00	1.00
10671523.00	0.00
10671550.00	1.00
10671600.00	0.00
11352210.00	1.00
11352234.00	0.00
11352267.00	1.00
11352316.00	0.00
11352342.00	1.00
11352362.00	0.00
11608441.00	1.00
11608458.00	0.00
11608522.00	1.00
11608574.00	0.00
12300280.00	1.00
12300302.00	0.00
12300333.00	1.00
12300380.00	0.00
12300413.00	1.00
12300431.00	0.00
12558401.00	1.00
12558420.00	0.00
12558454.00	1.00
12558504.00	0.00
12558532.00	1.00
12558535.00	0.00
13267525.00	1.00
13267541.00	0.00
13267577.00	1.00
13267631.00	0.00
13267689.00	1.00
13267699.00	0.00
13267735.00	1.00
13267756.00	0.00
13535051.00	1.00
13535063.00	0.00
13535090.00	1.00
13535130.00	0.00
14268468.00	1.00
14268483.00	0.00
14268528.00	1.00
14268567.00	0.00
14268587.00	1.00
14268601.00	0.00
14268617.00	1.00
14268625.00	0.00
14268639.00	1.00
14268665.00	0.00
14268708.00	1.00
14268712.00	0.00
14268728.00	1.00
14268740.00	0.00
14268819.00	1.00
14268940.00	0.00
14268955.00	1.00
14268961.00	0.00
14268975.00	1.00
14269114.00	0.00
14269132.00	1.00
14269238.00	0.00
14269254.00	1.00
14269298.00	0.00
14269312.00	1.00
14269390.00	0.00
14269431.00	1.00
14269498.00	0.00
