time	count
0.00	0.00
5005672.00	0.17
5005695.00	0.00
5005740.00	0.17
5005767.00	0.00
5005867.00	0.17
5005889.00	0.33
5005903.00	0.17
5006819.00	0.33
5006838.00	0.17
5006982.00	0.33
5006985.00	0.17
5007044.00	0.33
5007045.00	0.17
5007085.00	0.33
5007090.00	0.17
5007144.00	0.33
5007145.00	0.17
5007623.00	0.00
5007681.00	0.17
5007683.00	0.00
5007708.00	0.17
5007709.00	0.00
5007728.00	0.17
5007729.00	0.00
5007746.00	0.17
5007760.00	0.33
5007766.00	0.17
5007768.00	0.00
5007787.00	0.17
5007788.00	0.00
5007814.00	0.00
5007842.00	0.00
5008383.00	0.17
5008384.00	0.00
5008413.00	0.17
5008414.00	0.00
5008640.00	0.17
5008643.00	0.00
5009132.00	0.17
5009149.00	0.33
5009151.00	0.17
5009210.00	0.17
5009247.00	0.33
5009249.00	0.17
5009285.00	0.17
5009315.00	0.33
5009318.00	0.17
5009346.00	0.00
5009349.00	0.17
5009351.00	0.00
5009359.00	0.17
5009362.00	0.00
5009402.00	0.17
5009403.00	0.00
5009435.00	0.17
5009436.00	0.00
5009475.00	0.17
5009476.00	0.00
5009500.00	0.17
5009501.00	0.00
5009536.00	0.17
5009542.00	0.00
5009551.00	0.17
5009558.00	0.00
5009570.00	0.17
5009579.00	0.00
5009630.00	0.17
5009632.00	0.00
5009929.00	0.17
5009932.00	0.00
5009965.00	0.00
5009994.00	0.17
5009995.00	0.00
5010023.00	0.00
5010050.00	0.00
5010083.00	0.17
5010085.00	0.00
5010087.00	0.17
5010088.00	0.00
5010113.00	0.17
5010114.00	0.00
5010129.00	0.17
5010130.00	0.00
5010140.00	0.17
5010141.00	0.00
5010164.00	0.17
5010165.00	0.00
5010175.00	0.17
5010246.00	0.00
5010278.00	0.17
5010279.00	0.00
5010356.00	0.17
5010359.00	0.33
5010360.00	0.17
5010387.00	0.33
5010388.00	0.17
5010417.00	0.33
5010418.00	0.17
5010446.00	0.17
5010496.00	0.33
5010497.00	0.17
5010685.00	0.33
5010686.00	0.17
5010711.00	0.33
5010713.00	0.17
5010736.00	0.33
5010744.00	0.17
5010930.00	0.33
5010932.00	0.17
5010959.00	0.33
5010961.00	0.17
5010993.00	0.33
5010995.00	0.17
5011193.00	0.33
5011195.00	0.17
5011223.00	0.33
5011231.00	0.17
5011244.00	0.33
5011246.00	0.17
5011438.00	0.33
5011440.00	0.17
5011455.00	0.33
5011456.00	0.17
5011475.00	0.33
5011476.00	0.17
5011652.00	0.33
5011653.00	0.17
5011670.00	0.33
5011677.00	0.17
5011697.00	0.33
5011698.00	0.17
5011903.00	0.33
5011905.00	0.17
5011923.00	0.33
5011924.00	0.17
5011946.00	0.17
5012018.00	0.33
5012020.00	0.17
5257079.00	0.00
5257118.00	0.17
5257123.00	0.00
5257131.00	0.17
5257450.00	0.33
5257453.00	0.17
5257501.00	0.33
5257504.00	0.17
5914531.00	0.00
5914561.00	0.17
5914565.00	0.00
5914567.00	0.17
5914856.00	0.33
5914860.00	0.17
5914924.00	0.33
5914927.00	0.17
5914997.00	0.00
5915019.00	0.17
5915020.00	0.00
5915023.00	0.17
5915044.00	0.33
5915060.00	0.17
5915076.00	0.33
5915078.00	0.17
6154100.00	0.00
6154124.00	0.17
6810772.00	0.00
6810806.00	0.17
6810936.00	0.00
6810959.00	0.17
6810962.00	0.00
6810985.00	0.17
6810988.00	0.33
6810990.00	0.17
6811012.00	0.33
6811028.00	0.17
6811041.00	0.00
6811065.00	0.17
6811072.00	0.00
6811090.00	0.17
6811092.00	0.00
6811112.00	0.17
6811153.00	0.33
6811155.00	0.17
6811174.00	0.00
6811197.00	0.17
6811198.00	0.00
6811199.00	0.17
6811201.00	0.00
6811222.00	0.17
6811243.00	0.33
6811248.00	0.17
6811352.00	0.00
6811380.00	0.17
6811382.00	0.00
6811531.00	0.17
6811532.00	0.00
6811564.00	0.17
6811570.00	0.00
6811824.00	0.17
6811826.00	0.00
6811980.00	0.17
6811981.00	0.00
6812057.00	0.17
6812058.00	0.00
6812111.00	0.00
6812178.00	0.17
6812182.00	0.00
6812227.00	0.17
6812229.00	0.00
