time	count
0.00	0.00
5005604.00	1.00
5005625.00	0.00
5005668.00	1.00
5005714.00	0.00
5005738.00	1.00
5005868.00	0.00
5006697.00	1.00
5006795.00	0.00
5006820.00	1.00
5006947.00	0.00
5007003.00	1.00
5007020.00	0.00
5007050.00	1.00
5007065.00	0.00
5007087.00	1.00
5007124.00	0.00
5007147.00	1.00
5007657.00	0.00
5007685.00	1.00
5007692.00	0.00
5007710.00	1.00
5007716.00	0.00
5007731.00	1.00
5007735.00	0.00
5007747.00	1.00
5007751.00	0.00
5007763.00	1.00
5007768.00	0.00
5007791.00	1.00
5007796.00	0.00
5007820.00	1.00
5007824.00	0.00
5007843.00	1.00
5008362.00	0.00
5008388.00	1.00
5008396.00	0.00
5008417.00	1.00
5009133.00	0.00
5009150.00	1.00
5009193.00	0.00
5009213.00	1.00
5009230.00	0.00
5009250.00	1.00
5009262.00	0.00
5009285.00	1.00
5009300.00	0.00
5009317.00	1.00
5009333.00	0.00
5009352.00	1.00
5009371.00	0.00
5009400.00	1.00
5009415.00	0.00
5009437.00	1.00
5009456.00	0.00
5009476.00	1.00
5009487.00	0.00
5009506.00	1.00
5009520.00	0.00
5009537.00	1.00
5009539.00	0.00
5009549.00	1.00
5009558.00	0.00
5009572.00	1.00
5009611.00	0.00
5009633.00	1.00
5010062.00	0.00
5010081.00	1.00
5010094.00	0.00
5010115.00	1.00
5010129.00	0.00
5010142.00	1.00
5010351.00	0.00
5010363.00	1.00
5010371.00	0.00
5010390.00	1.00
5010402.00	0.00
5010418.00	1.00
5010425.00	0.00
5010443.00	1.00
5010476.00	0.00
5010497.00	1.00
5010670.00	0.00
5010691.00	1.00
5010699.00	0.00
5010712.00	1.00
5010724.00	0.00
5010738.00	1.00
5010908.00	0.00
5010931.00	1.00
5010940.00	0.00
5010958.00	1.00
5010973.00	0.00
5011000.00	1.00
5011167.00	0.00
5011198.00	1.00
5011206.00	0.00
5011221.00	1.00
5011233.00	0.00
5011244.00	1.00
5011419.00	0.00
5011435.00	1.00
5011446.00	0.00
5011456.00	1.00
5011467.00	0.00
5011477.00	1.00
5011637.00	0.00
5011652.00	1.00
5011660.00	0.00
5011672.00	1.00
5011686.00	0.00
5011698.00	1.00
5011887.00	0.00
5011904.00	1.00
5011913.00	0.00
5011926.00	1.00
5011937.00	0.00
5011948.00	1.00
5012005.00	0.00
5257401.00	1.00
5257416.00	0.00
5257446.00	1.00
5257481.00	0.00
5914806.00	1.00
5914824.00	0.00
5914856.00	1.00
5914901.00	0.00
5915026.00	1.00
5915031.00	0.00
5915043.00	1.00
5915062.00	0.00
6154105.00	1.00
6154111.00	0.00
6154120.00	1.00
6154142.00	0.00
6154147.00	1.00
6154149.00	0.00
6154151.00	0.00
6154153.00	0.00
6810778.00	1.00
6810788.00	0.00
6810802.00	1.00
6810842.00	0.00
6810848.00	1.00
6810852.00	0.00
6810854.00	1.00
6810856.00	0.00
6810857.00	1.00
6810858.00	0.00
6810943.00	1.00
6810954.00	0.00
6810969.00	1.00
6810993.00	0.00
6811046.00	1.00
6811051.00	0.00
6811096.00	1.00
6811129.00	0.00
6811178.00	1.00
6811187.00	0.00
6811200.00	1.00
6811222.00	0.00
6811349.00	1.00
6811508.00	0.00
6811534.00	1.00
6811543.00	0.00
6811565.00	1.00
6811798.00	0.00
6811823.00	1.00
6811960.00	0.00
6811981.00	1.00
6812037.00	0.00
6812057.00	1.00
6812092.00	0.00
6812142.00	1.00
6812209.00	0.00
