time	count
0.00	0.00
5005594.00	1.00
5005617.00	0.00
5005658.00	1.00
5005707.00	0.00
5005731.00	1.00
5005864.00	0.00
5006427.00	1.00
5006448.00	0.00
5006493.00	1.00
5006506.00	0.00
5006525.00	1.00
5006614.00	0.00
5006641.00	1.00
5006652.00	0.00
5006669.00	1.00
5006670.00	0.00
5006801.00	1.00
5006909.00	0.00
5006932.00	1.00
5007396.00	0.00
5007426.00	1.00
5007488.00	0.00
5007517.00	1.00
5007533.00	0.00
5007552.00	1.00
5007556.00	0.00
5007567.00	1.00
5007573.00	0.00
5007589.00	1.00
5007594.00	0.00
5007606.00	1.00
5007611.00	0.00
5007624.00	1.00
5008777.00	0.00
5008801.00	1.00
5008842.00	0.00
5008863.00	1.00
5008870.00	0.00
5008894.00	1.00
5008900.00	0.00
5008924.00	1.00
5008929.00	0.00
5008945.00	1.00
5008951.00	0.00
5008965.00	1.00
5008967.00	0.00
5008991.00	1.00
5009046.00	0.00
5009073.00	1.00
5009090.00	0.00
5009109.00	1.00
5009130.00	0.00
5009154.00	1.00
5009164.00	0.00
5009185.00	1.00
5009226.00	0.00
5009249.00	1.00
5009265.00	0.00
5009285.00	1.00
5009301.00	0.00
5009321.00	1.00
5009335.00	0.00
5009355.00	1.00
5009374.00	0.00
5009398.00	1.00
5009408.00	0.00
5009433.00	1.00
5009453.00	0.00
5009479.00	1.00
5009496.00	0.00
5009517.00	1.00
5009526.00	0.00
5009544.00	1.00
5009672.00	0.00
5009700.00	1.00
5009712.00	0.00
5009729.00	1.00
5009741.00	0.00
5009759.00	1.00
5010574.00	0.00
5010585.00	1.00
5010857.00	0.00
5010869.00	1.00
5010875.00	0.00
5010891.00	1.00
5010902.00	0.00
5010919.00	1.00
5010994.00	0.00
5011016.00	1.00
5011071.00	0.00
5011095.00	1.00
5011105.00	0.00
5011125.00	1.00
5011133.00	0.00
5011152.00	1.00
5011160.00	0.00
5011181.00	1.00
5011235.00	0.00
5011258.00	1.00
5011857.00	0.00
5011867.00	1.00
5012343.00	0.00
5012361.00	1.00
5012367.00	0.00
5012386.00	1.00
5012451.00	0.00
5012472.00	1.00
5012483.00	0.00
5012506.00	1.00
5012516.00	0.00
5012530.00	1.00
5012930.00	0.00
5012958.00	1.00
5013331.00	0.00
5013356.00	1.00
5013362.00	0.00
5013377.00	1.00
5013439.00	0.00
5013463.00	1.00
5013474.00	0.00
5013489.00	1.00
5013496.00	0.00
5013509.00	1.00
5013970.00	0.00
5013994.00	1.00
5014421.00	0.00
5014445.00	1.00
5014451.00	0.00
5014467.00	1.00
5014531.00	0.00
5014551.00	1.00
5014561.00	0.00
5014598.00	1.00
5014606.00	0.00
5014623.00	1.00
5014940.00	0.00
5014968.00	1.00
5015271.00	0.00
5015295.00	1.00
5015301.00	0.00
5015328.00	1.00
5015392.00	0.00
5015413.00	1.00
5015423.00	0.00
5015459.00	1.00
5015469.00	0.00
5015483.00	1.00
5015812.00	0.00
5015838.00	1.00
5016167.00	0.00
5016194.00	1.00
5016200.00	0.00
5016243.00	1.00
5016306.00	0.00
5016327.00	1.00
5016337.00	0.00
5016353.00	1.00
5016362.00	0.00
5016374.00	1.00
5016694.00	0.00
5016727.00	1.00
5017054.00	0.00
5017088.00	1.00
5017096.00	0.00
5017113.00	1.00
5017121.00	0.00
5017163.00	1.00
5017322.00	0.00
5017339.00	1.00
5017340.00	0.00
5017346.00	1.00
5017348.00	0.00
5049642.00	1.00
5049650.00	0.00
5049675.00	1.00
5049762.00	0.00
5050905.00	1.00
5050911.00	0.00
5055452.00	1.00
5055527.00	0.00
5055538.00	1.00
5055540.00	0.00
5141777.00	1.00
5141791.00	0.00
5141847.00	1.00
5142138.00	0.00
5142171.00	1.00
5142181.00	0.00
5142204.00	1.00
5142274.00	0.00
5144153.00	1.00
5144166.00	0.00
5144218.00	1.00
5144297.00	0.00
5144323.00	1.00
5144332.00	0.00
5144352.00	1.00
5144410.00	0.00
5176443.00	1.00
5176457.00	0.00
5176486.00	1.00
5176543.00	0.00
5178254.00	1.00
5178259.00	0.00
5178269.00	1.00
5178393.00	0.00
5270755.00	1.00
5270760.00	0.00
5270776.00	1.00
5270872.00	0.00
5270904.00	1.00
5270914.00	0.00
5270930.00	1.00
5270981.00	0.00
5273971.00	1.00
5273982.00	0.00
5274017.00	1.00
5274097.00	0.00
5274127.00	1.00
5274135.00	0.00
5274159.00	1.00
5274225.00	0.00
5274254.00	1.00
5275094.00	0.00
5275123.00	1.00
5275213.00	0.00
5275271.00	1.00
5275289.00	0.00
5275309.00	1.00
5275509.00	0.00
