time	count
0.00	0.00
5005664.00	0.17
5005691.00	0.00
5005731.00	0.17
5005732.00	0.00
5005867.00	0.17
5005876.00	0.33
5005895.00	0.17
5006480.00	0.33
5006500.00	0.17
5006522.00	0.33
5006532.00	0.17
5006550.00	0.00
5006646.00	0.17
5006650.00	0.00
5006664.00	0.17
5006667.00	0.33
5006668.00	0.17
5006685.00	0.33
5006686.00	0.17
5006928.00	0.33
5006929.00	0.17
5007399.00	0.00
5007436.00	0.17
5007439.00	0.17
5007457.00	0.00
5007519.00	0.17
5007521.00	0.00
5007550.00	0.17
5007551.00	0.00
5007566.00	0.17
5007567.00	0.00
5007588.00	0.17
5007589.00	0.00
5007606.00	0.00
5007623.00	0.17
5007624.00	0.00
5008800.00	0.17
5008802.00	0.00
5008864.00	0.17
5008865.00	0.00
5008901.00	0.17
5008912.00	0.00
5008921.00	0.17
5008922.00	0.00
5008944.00	0.00
5008966.00	0.17
5008967.00	0.00
5008991.00	0.17
5008992.00	0.00
5009075.00	0.17
5009077.00	0.00
5009112.00	0.17
5009115.00	0.00
5009148.00	0.17
5009149.00	0.00
5009181.00	0.17
5009191.00	0.00
5009246.00	0.17
5009247.00	0.00
5009284.00	0.17
5009285.00	0.00
5009318.00	0.17
5009319.00	0.00
5009351.00	0.17
5009352.00	0.00
5009394.00	0.17
5009395.00	0.00
5009432.00	0.17
5009433.00	0.00
5009481.00	0.17
5009482.00	0.00
5009515.00	0.17
5009516.00	0.00
5009542.00	0.17
5009547.00	0.00
5009693.00	0.17
5009694.00	0.00
5009726.00	0.17
5009734.00	0.00
5009761.00	0.17
5009763.00	0.00
5010083.00	0.17
5010086.00	0.00
5010579.00	0.17
5010583.00	0.33
5010585.00	0.17
5010692.00	0.00
5010715.00	0.17
5010716.00	0.00
5010861.00	0.17
5010867.00	0.33
5010869.00	0.17
5010893.00	0.33
5010895.00	0.17
5010917.00	0.33
5010919.00	0.17
5010952.00	0.00
5010985.00	0.17
5010987.00	0.00
5011014.00	0.17
5011015.00	0.00
5011091.00	0.17
5011092.00	0.00
5011123.00	0.17
5011124.00	0.00
5011148.00	0.17
5011154.00	0.00
5011179.00	0.17
5011182.00	0.00
5011254.00	0.17
5011255.00	0.00
5011621.00	0.17
5011624.00	0.00
5011649.00	0.00
5011759.00	0.17
5011761.00	0.00
5011798.00	0.17
5011799.00	0.00
5011829.00	0.00
5011879.00	0.17
5011881.00	0.00
5011892.00	0.00
5011894.00	0.17
5012146.00	0.17
5012171.00	0.17
5012206.00	0.17
5012237.00	0.33
5012238.00	0.17
5012265.00	0.33
5012266.00	0.17
5012286.00	0.17
5012349.00	0.33
5012355.00	0.50
5012357.00	0.33
5012383.00	0.50
5012386.00	0.33
5012469.00	0.50
5012470.00	0.33
5012508.00	0.50
5012510.00	0.33
5012535.00	0.50
5012536.00	0.33
5012872.00	0.50
5012873.00	0.33
5012960.00	0.50
5012967.00	0.33
5013253.00	0.33
5013351.00	0.50
5013352.00	0.33
5013374.00	0.50
5013378.00	0.33
5013460.00	0.50
5013461.00	0.33
5013493.00	0.50
5013495.00	0.33
5013516.00	0.50
5013523.00	0.33
5013861.00	0.33
5013896.00	0.50
5013897.00	0.33
5013929.00	0.50
5013930.00	0.33
5013988.00	0.50
5013998.00	0.33
5014318.00	0.33
5014347.00	0.33
5014375.00	0.50
5014377.00	0.33
5014445.00	0.50
5014446.00	0.33
5014472.00	0.50
5014473.00	0.33
5014559.00	0.50
5014560.00	0.33
5014582.00	0.50
5014583.00	0.33
5014627.00	0.50
5014628.00	0.33
5014967.00	0.50
5014968.00	0.33
5015300.00	0.50
5015302.00	0.33
5015323.00	0.50
5015324.00	0.33
5015416.00	0.50
5015422.00	0.33
5015463.00	0.50
5015464.00	0.33
5015481.00	0.50
5015485.00	0.33
5015833.00	0.50
5015841.00	0.33
5016193.00	0.50
5016194.00	0.33
5016221.00	0.50
5016222.00	0.33
5016328.00	0.50
5016329.00	0.33
5016355.00	0.50
5016356.00	0.33
5016372.00	0.50
5016379.00	0.33
5016732.00	0.50
5016733.00	0.33
5017087.00	0.50
5017089.00	0.33
5017110.00	0.33
5017141.00	0.50
5017148.00	0.33
5017346.00	0.50
5017347.00	0.33
5049633.00	0.17
5049665.00	0.33
5049668.00	0.17
5049672.00	0.33
5049673.00	0.17
5049688.00	0.33
5049775.00	0.50
5049777.00	0.33
5050901.00	0.17
5050923.00	0.33
5050925.00	0.17
5050928.00	0.33
5055449.00	0.50
5055452.00	0.33
5141767.00	0.17
5141810.00	0.33
5141812.00	0.50
5141816.00	0.33
5141844.00	0.50
5141847.00	0.33
5142099.00	0.17
5142114.00	0.33
5142115.00	0.17
5142137.00	0.33
5142175.00	0.50
5142176.00	0.33
5142200.00	0.50
5142202.00	0.33
5142301.00	0.50
5142303.00	0.33
5144128.00	0.17
5144142.00	0.33
5144143.00	0.17
5144149.00	0.33
5144191.00	0.50
5144194.00	0.33
5144199.00	0.17
5144217.00	0.33
5144218.00	0.17
5144221.00	0.33
5144320.00	0.50
5144321.00	0.33
5144355.00	0.50
5144357.00	0.33
5144433.00	0.50
5144435.00	0.33
5176422.00	0.17
5176438.00	0.33
5176444.00	0.17
5176454.00	0.33
5176480.00	0.50
5176481.00	0.33
5176564.00	0.50
5176565.00	0.33
5178239.00	0.17
5178253.00	0.33
5178255.00	0.17
5178256.00	0.33
5178268.00	0.50
5178270.00	0.33
5178408.00	0.50
5178409.00	0.33
5270750.00	0.17
5270768.00	0.33
5270770.00	0.17
5270776.00	0.33
5270778.00	0.50
5270779.00	0.33
5270818.00	0.17
5270843.00	0.33
5270845.00	0.17
5270899.00	0.33
5270900.00	0.17
5270933.00	0.33
5270936.00	0.17
5271002.00	0.33
5271003.00	0.17
5273932.00	0.00
5273972.00	0.17
5273973.00	0.00
5273974.00	0.17
5274013.00	0.33
5274015.00	0.00
5274032.00	0.17
5274033.00	0.00
5274121.00	0.17
5274123.00	0.00
5274157.00	0.17
5274160.00	0.00
5274248.00	0.17
5274249.00	0.00
5275118.00	0.17
5275123.00	0.00
5275229.00	0.17
5275230.00	0.00
5275305.00	0.17
5275306.00	0.00
5275347.00	0.17
5275349.00	0.00
5275529.00	0.17
5275530.00	0.00
