time	count
0.00	0.00
5109195.00	1.00
5109224.00	0.00
5109270.00	1.00
5109331.00	0.00
5109352.00	1.00
5109522.00	0.00
5110054.00	1.00
5110080.00	0.00
5110112.00	1.00
5110136.00	0.00
5110151.00	1.00
5110314.00	0.00
5110340.00	1.00
5110344.00	0.00
5110356.00	1.00
5110357.00	0.00
5110370.00	1.00
5110976.00	0.00
5110998.00	1.00
5111011.00	0.00
5111033.00	1.00
5111049.00	0.00
5111065.00	1.00
5111092.00	0.00
5111109.00	1.00
5111116.00	0.00
5111131.00	1.00
5111137.00	0.00
5111152.00	1.00
5111157.00	0.00
5111173.00	1.00
5111178.00	0.00
5111194.00	1.00
5111199.00	0.00
5111213.00	1.00
5111219.00	0.00
5111239.00	1.00
5111245.00	0.00
5111261.00	1.00
5114507.00	0.00
5114525.00	1.00
5114529.00	0.00
5114533.00	1.00
5115207.00	0.00
5115215.00	1.00
5115244.00	0.00
5115256.00	1.00
5115260.00	0.00
5115268.00	1.00
5115302.00	0.00
5115311.00	1.00
5115326.00	0.00
5115336.00	1.00
5115345.00	0.00
5115354.00	1.00
5115366.00	0.00
5115375.00	1.00
5115385.00	0.00
5115394.00	1.00
5115403.00	0.00
5115418.00	1.00
5115429.00	0.00
5115439.00	1.00
5115452.00	0.00
5115463.00	1.00
5115471.00	0.00
5115481.00	1.00
5115515.00	0.00
5115528.00	1.00
5115533.00	0.00
5115540.00	1.00
5115545.00	0.00
5115553.00	1.00
5115561.00	0.00
5115569.00	1.00
5115620.00	0.00
5115630.00	1.00
5115757.00	0.00
5115775.00	1.00
5115785.00	0.00
5115793.00	1.00
5115799.00	0.00
5115807.00	1.00
5116468.00	0.00
5116483.00	1.00
5116991.00	0.00
5117007.00	1.00
5117021.00	0.00
5117034.00	1.00
5117038.00	0.00
5117049.00	1.00
5117131.00	0.00
5117147.00	1.00
5117153.00	0.00
5117165.00	1.00
5117187.00	0.00
5117198.00	1.00
5117203.00	0.00
5117210.00	1.00
5117215.00	0.00
5117222.00	1.00
5117225.00	0.00
5117233.00	1.00
5117311.00	0.00
5117329.00	1.00
5117339.00	0.00
5117352.00	1.00
5117360.00	0.00
5117371.00	1.00
5117904.00	0.00
5117925.00	1.00
5118375.00	0.00
5118395.00	1.00
5118400.00	0.00
5118412.00	1.00
5118416.00	0.00
5118427.00	1.00
5118430.00	0.00
5118439.00	1.00
5118445.00	0.00
5118455.00	1.00
5118474.00	0.00
5118487.00	1.00
5118519.00	0.00
5118532.00	1.00
5118537.00	0.00
5118548.00	1.00
5118551.00	0.00
5118561.00	1.00
5118565.00	0.00
5118574.00	1.00
5118588.00	0.00
5118599.00	1.00
5118622.00	0.00
5118635.00	1.00
5118693.00	0.00
5118707.00	1.00
5118716.00	0.00
5118732.00	1.00
5118740.00	0.00
5118751.00	1.00
5119132.00	0.00
5119148.00	1.00
5119529.00	0.00
5119545.00	1.00
5119553.00	0.00
5119567.00	1.00
5119650.00	0.00
5119664.00	1.00
5119679.00	0.00
5119689.00	1.00
5119694.00	0.00
5119703.00	1.00
5119707.00	0.00
5119716.00	1.00
5119719.00	0.00
5119728.00	1.00
5119783.00	0.00
5119797.00	1.00
5119805.00	0.00
5119816.00	1.00
5119822.00	0.00
5119832.00	1.00
5120163.00	0.00
5120178.00	1.00
5120519.00	0.00
5120537.00	1.00
5120564.00	0.00
5120587.00	1.00
5120591.00	0.00
5120606.00	1.00
5120688.00	0.00
5120701.00	1.00
5120707.00	0.00
5120716.00	1.00
5120737.00	0.00
5120748.00	1.00
5120753.00	0.00
5120761.00	1.00
5120765.00	0.00
5120773.00	1.00
5120778.00	0.00
5120786.00	1.00
5120853.00	0.00
5120869.00	1.00
5120879.00	0.00
5120891.00	1.00
5120899.00	0.00
5120911.00	1.00
5121537.00	0.00
5121545.00	1.00
5121949.00	0.00
5121958.00	1.00
5121962.00	0.00
5121967.00	1.00
5121978.00	0.00
