level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	5016258	5016300	#be00ff	1.0	Fill	49					395
3	5016324	5016335	#be00ff	1.0	Fill	49					396
3	5016341	5016349	#be00ff	1.0	Fill	49					397
3	5016354	5016362	#be00ff	1.0	Fill	49					398
3	5016369	5016376	#be00ff	1.0	Fill	50					399
3	5016382	5016389	#be00ff	1.0	Fill	50					400
3	5016394	5016403	#be00ff	1.0	Fill	50					401
3	5016407	5016413	#be00ff	1.0	Fill	50					402
3	5016417	5016422	#ff0071	1.0	Fill	53					403
3	5017431	5017440	#ff0071	1.0	Fill	54					110
3	5021419	5021430	#00fff6	1.0	Fill	57					404
3	5021444	5021450	#00fff6	1.0	Fill	57					405
3	5021459	5021464	#00fff6	1.0	Fill	57					406
3	5021477	5021483	#00fff6	1.0	Fill	58					407
3	5021489	5021495	#00fff6	1.0	Fill	58					408
3	5021501	5021507	#00fff6	1.0	Fill	58					409
