time	count
0.00	0.00
5005208.00	0.50
5005215.00	0.00
5005278.00	0.50
5005303.00	0.00
5005442.00	0.50
5005451.00	0.50
5005987.00	1.00
5005991.00	0.50
5006022.00	0.50
5006196.00	0.50
5006212.00	1.00
5006215.00	0.50
5006224.00	1.00
5006225.00	0.50
5006773.00	0.00
5006783.00	0.50
5006784.00	0.00
5006818.00	0.50
5006819.00	0.00
5006860.00	0.50
5006862.00	0.00
5006885.00	0.00
5006927.00	0.00
5006949.00	0.50
5006950.00	0.00
5006969.00	0.50
5006970.00	0.00
5006988.00	0.50
5006989.00	0.00
5007009.00	0.00
5007028.00	0.50
5007029.00	0.00
5007048.00	0.50
5007051.00	0.00
5007068.00	0.00
5011420.00	0.50
5011423.00	0.00
5011429.00	0.50
5011430.00	0.00
5011695.00	0.50
5011699.00	0.00
5012411.00	0.50
5012430.00	1.00
5012433.00	0.50
5012475.00	0.50
5012476.00	0.00
5012500.00	0.50
5012501.00	0.00
5012515.00	0.50
5012516.00	0.00
5012579.00	0.00
5012622.00	0.50
5012623.00	0.00
5012652.00	0.50
5012658.00	0.00
5012696.00	0.00
5012726.00	0.00
5012757.00	0.00
5012795.00	0.00
5012830.00	0.50
5012831.00	0.00
5012858.00	0.00
5012934.00	0.50
5012937.00	0.00
5012966.00	0.50
5012967.00	0.00
5013045.00	0.50
5013046.00	0.00
5013070.00	0.50
5013071.00	0.00
5013092.00	0.50
5013095.00	0.00
5013293.00	0.50
5013294.00	0.00
5013327.00	0.50
5013328.00	0.00
5013353.00	0.50
5013354.00	0.00
5014020.00	0.50
5014021.00	0.00
5014043.00	0.50
5014044.00	0.00
5014342.00	0.00
5014848.00	0.00
5014861.00	0.00
5015083.00	0.00
5015122.00	0.50
5015123.00	0.00
5015140.00	0.50
5015144.00	0.00
5015266.00	0.00
5015288.00	0.00
5015337.00	0.00
5015356.00	0.50
5015357.00	0.00
5015376.00	0.50
5015377.00	0.00
5015395.00	0.00
5015505.00	0.50
5015506.00	0.00
5015529.00	0.50
5015530.00	0.00
5015552.00	0.50
5015555.00	0.00
5016539.00	0.50
5017000.00	1.00
5017101.00	0.50
5017117.00	1.00
5017121.00	0.50
5017124.00	1.00
5017125.00	0.50
5017128.00	0.50
5017130.00	1.00
5017131.00	0.50
5017133.00	0.50
5017136.00	0.50
5017138.00	1.00
5017139.00	0.50
5017141.00	0.50
5017143.00	0.50
5017145.00	1.00
5017156.00	0.50
5017171.00	1.00
5017173.00	0.50
5017176.00	1.00
5017177.00	0.50
5017179.00	1.00
5017180.00	0.50
5017184.00	1.00
5017185.00	0.50
5017194.00	1.00
5017195.00	0.50
5017199.00	1.00
5017205.00	0.50
5017208.00	1.00
5017213.00	0.50
5017215.00	1.00
5017216.00	0.50
5017219.00	1.00
5017220.00	0.50
5017224.00	1.00
5017225.00	0.50
5017227.00	1.00
5017228.00	0.50
5017231.00	1.00
5017236.00	0.50
5017239.00	1.00
5017240.00	0.50
5017243.00	1.00
5017244.00	0.50
5017318.00	1.00
5017320.00	0.50
5017382.00	0.00
5017391.00	0.50
5017393.00	0.00
5017411.00	0.50
5017412.00	0.50
5017416.00	1.00
5017417.00	0.50
5017433.00	1.00
5017441.00	0.50
5017462.00	1.00
5018313.00	0.50
5018325.00	1.00
5018326.00	0.50
5018328.00	1.00
5018330.00	0.50
5018332.00	0.50
5018343.00	1.00
5018344.00	0.50
5018347.00	1.00
5018348.00	0.50
5018349.00	1.00
5018350.00	0.50
5018352.00	1.00
5018353.00	0.50
5018354.00	1.00
5018355.00	0.50
5018356.00	1.00
5018357.00	0.50
5018358.00	1.00
5018361.00	0.50
5018363.00	1.00
5018370.00	0.50
5018392.00	1.00
5018393.00	0.50
5018406.00	1.00
5018407.00	0.50
5018416.00	1.00
5018417.00	0.50
5018470.00	1.00
5018471.00	0.50
5018485.00	1.00
5018486.00	0.50
5018497.00	1.00
5018498.00	0.50
5018723.00	0.00
5018751.00	0.50
5018753.00	0.00
5018851.00	0.50
5018852.00	0.00
5019198.00	0.50
5019199.00	0.00
5019214.00	0.50
5019215.00	0.00
5019226.00	0.50
5019227.00	0.00
5019237.00	0.50
5019238.00	0.00
5019305.00	0.50
5019306.00	0.00
5019392.00	0.50
5019394.00	0.00
5019407.00	0.50
5019410.00	0.00
5019435.00	0.50
5019436.00	0.00
5019449.00	0.00
5019461.00	0.50
5019462.00	0.00
5019473.00	0.00
5019534.00	0.00
5019552.00	0.00
5019565.00	0.50
5019568.00	0.00
5019929.00	0.50
5019930.00	0.00
5020274.00	0.00
5020282.00	0.50
5020284.00	0.00
5020291.00	0.00
5020309.00	0.50
