time	count
0.00	0.00
5005556.00	0.17
5005564.00	0.00
5005657.00	0.00
5005841.00	0.17
5005861.00	0.33
5005880.00	0.17
5006605.00	0.33
5006628.00	0.17
5006635.00	0.33
5006673.00	0.17
5006977.00	0.33
5006980.00	0.17
5007002.00	0.33
5007007.00	0.17
5007016.00	0.33
5007017.00	0.17
5007037.00	0.33
5007038.00	0.17
5007057.00	0.00
5007059.00	0.00
5007108.00	0.17
5007113.00	0.00
5007119.00	0.17
5007121.00	0.00
5007135.00	0.17
5007147.00	0.33
5007149.00	0.17
5007743.00	0.33
5007746.00	0.17
5007774.00	0.33
5007800.00	0.17
5007813.00	0.33
5007814.00	0.17
5007862.00	0.33
5007874.00	0.17
5007881.00	0.33
5007882.00	0.17
5007909.00	0.33
5007910.00	0.17
5007920.00	0.33
5007926.00	0.17
5007941.00	0.33
5007942.00	0.17
5007988.00	0.17
5008003.00	0.33
5008004.00	0.17
5008033.00	0.17
5009692.00	0.00
5012276.00	0.17
5012278.00	0.00
5020355.00	0.17
5020357.00	0.00
5022321.00	0.17
5022325.00	0.00
5022354.00	0.17
5022357.00	0.00
5022594.00	0.17
5022599.00	0.00
5023007.00	0.17
5023013.00	0.33
5023016.00	0.17
5023072.00	0.33
5023073.00	0.17
5023107.00	0.33
5023108.00	0.17
5023132.00	0.33
5023133.00	0.17
5023159.00	0.33
5023161.00	0.17
5023184.00	0.33
5023193.00	0.17
5023209.00	0.33
5023210.00	0.17
5023239.00	0.33
5023240.00	0.17
5023241.00	0.00
5023266.00	0.17
5023267.00	0.00
5023282.00	0.17
5023287.00	0.00
5023289.00	0.17
5023298.00	0.00
5023316.00	0.17
5023317.00	0.00
5023341.00	0.00
5023359.00	0.17
5023360.00	0.00
5023410.00	0.17
5023411.00	0.00
5023658.00	0.17
5023661.00	0.00
5023690.00	0.00
5023724.00	0.00
5023735.00	0.17
5023736.00	0.00
5023753.00	0.17
5023754.00	0.00
5023771.00	0.17
5023772.00	0.00
5023777.00	0.00
5023798.00	0.17
5023799.00	0.00
5023806.00	0.17
5023807.00	0.00
5023824.00	0.00
5023851.00	0.17
5023857.00	0.00
5023870.00	0.17
5023871.00	0.00
5023881.00	0.00
5023891.00	0.17
5023892.00	0.00
5023895.00	0.17
5023896.00	0.00
5023918.00	0.17
5023921.00	0.17
5023972.00	0.00
5023986.00	0.17
5023990.00	0.00
5024104.00	0.00
5024136.00	0.17
5024137.00	0.00
5024148.00	0.17
5024149.00	0.00
5024164.00	0.17
5024170.00	0.00
5024178.00	0.17
5024183.00	0.00
5024199.00	0.17
5024200.00	0.00
5024221.00	0.17
5024222.00	0.00
5024238.00	0.17
5024239.00	0.00
5024285.00	0.17
5024287.00	0.00
5024567.00	0.17
5024584.00	0.33
5024585.00	0.17
5024788.00	0.33
5024789.00	0.17
5024841.00	0.33
5024853.00	0.50
5024854.00	0.33
5025046.00	0.50
5025047.00	0.33
5025099.00	0.50
5025101.00	0.67
5025102.00	0.50
5025332.00	0.50
5025392.00	0.67
5030991.00	0.83
5030992.00	0.67
5031000.00	0.67
5031007.00	0.67
5031013.00	0.83
5032283.00	1.00
5068236.00	0.83
5068264.00	1.00
5068272.00	0.83
5068274.00	1.00
5068275.00	0.83
5068552.00	0.67
5068560.00	0.83
5068561.00	0.67
5068577.00	0.83
5068578.00	0.67
5068622.00	0.83
5068624.00	0.67
5070152.00	0.50
5070164.00	0.67
5070168.00	0.50
5070188.00	0.67
5070189.00	0.50
5070250.00	0.67
5070251.00	0.50
5073903.00	0.33
5073938.00	0.50
5073940.00	0.33
5073968.00	0.50
5073969.00	0.33
5074038.00	0.50
5074040.00	0.33
5078340.00	0.17
5078372.00	0.33
5078374.00	0.17
5078397.00	0.33
5078399.00	0.17
5078464.00	0.33
5078466.00	0.17
5079575.00	0.00
5079617.00	0.33
5079621.00	0.67
5079623.00	0.83
5079627.00	1.00
5192532.00	0.83
5192563.00	1.00
5192566.00	0.83
5192620.00	1.00
5192622.00	0.83
5193889.00	0.67
5193906.00	0.83
5193908.00	0.67
5193923.00	0.83
5193925.00	0.67
5193983.00	0.83
5193985.00	0.67
5196215.00	0.50
5196235.00	0.67
5196237.00	0.50
5196239.00	0.50
5196286.00	0.67
5196288.00	0.50
5200544.00	0.33
5200560.00	0.50
5200562.00	0.33
5200594.00	0.50
5200596.00	0.33
5200683.00	0.50
5200685.00	0.33
5201272.00	0.17
5201287.00	0.33
5201288.00	0.17
5201299.00	0.33
5201301.00	0.17
5201359.00	0.33
5201361.00	0.17
5205757.00	0.00
5205773.00	0.17
5205774.00	0.00
5205777.00	0.17
5205781.00	0.33
5205818.00	0.00
5205833.00	0.33
5205863.00	0.00
5205872.00	0.33
5205884.00	0.50
5205886.00	0.33
5205902.00	0.50
5205904.00	0.33
5205907.00	0.17
5205910.00	0.33
5205912.00	0.17
5205918.00	0.33
5205919.00	0.17
5205920.00	0.00
5205941.00	0.17
5205943.00	0.00
5205960.00	0.17
5205963.00	0.50
5205964.00	0.33
5205965.00	0.50
5205979.00	0.67
5205981.00	0.83
5205983.00	1.00
5249402.00	0.83
5249425.00	1.00
5249428.00	0.83
5249430.00	1.00
5249432.00	0.83
5249542.00	1.00
5249543.00	0.83
5249822.00	0.67
5249830.00	0.67
5249844.00	0.83
5249846.00	0.67
5249899.00	0.83
5249900.00	0.67
5251660.00	0.50
5251693.00	0.83
5251695.00	0.50
5251757.00	0.67
5251758.00	0.50
5251973.00	0.33
5252014.00	0.50
5252015.00	0.33
5252047.00	0.50
5252051.00	0.33
5252125.00	0.50
5252128.00	0.33
5252597.00	0.17
5252612.00	0.33
5252613.00	0.17
5252618.00	0.33
5252619.00	0.17
5252670.00	0.33
5252671.00	0.17
5252739.00	0.00
5252754.00	0.17
5252755.00	0.00
5252762.00	0.17
5252767.00	0.33
5252779.00	0.50
5252782.00	0.67
5252797.00	0.83
5252801.00	1.00
5367385.00	0.83
5367404.00	1.00
