time	count
0.00	0.00
5005465.00	1.00
5005497.00	0.00
5005560.00	1.00
5005620.00	0.00
5005658.00	1.00
5005841.00	0.00
5006541.00	1.00
5006567.00	0.00
5006598.00	1.00
5006611.00	0.00
5006632.00	1.00
5006938.00	0.00
5006978.00	1.00
5006983.00	0.00
5007003.00	1.00
5007004.00	0.00
5007015.00	1.00
5007017.00	0.00
5007041.00	1.00
5007043.00	0.00
5007067.00	1.00
5007097.00	0.00
5007117.00	1.00
5007128.00	0.00
5007150.00	1.00
5007703.00	0.00
5007740.00	1.00
5007753.00	0.00
5007776.00	1.00
5007791.00	0.00
5007811.00	1.00
5007836.00	0.00
5007862.00	1.00
5007867.00	0.00
5007881.00	1.00
5007886.00	0.00
5007905.00	1.00
5007909.00	0.00
5007919.00	1.00
5007924.00	0.00
5007962.00	1.00
5007966.00	0.00
5007985.00	1.00
5007989.00	0.00
5008004.00	1.00
5008010.00	0.00
5008033.00	1.00
5012249.00	0.00
5012280.00	1.00
5020320.00	0.00
5020356.00	1.00
5022295.00	0.00
5022321.00	1.00
5022331.00	0.00
5022350.00	1.00
5023000.00	0.00
5023012.00	1.00
5023052.00	0.00
5023069.00	1.00
5023088.00	0.00
5023105.00	1.00
5023118.00	0.00
5023132.00	1.00
5023142.00	0.00
5023160.00	1.00
5023171.00	0.00
5023185.00	1.00
5023193.00	0.00
5023207.00	1.00
5023223.00	0.00
5023238.00	1.00
5023249.00	0.00
5023264.00	1.00
5023277.00	0.00
5023286.00	1.00
5023305.00	0.00
5023319.00	1.00
5023326.00	0.00
5023340.00	1.00
5023346.00	0.00
5023357.00	1.00
5023395.00	0.00
5023409.00	1.00
5023724.00	0.00
5023737.00	1.00
5023757.00	0.00
5023773.00	1.00
5023781.00	0.00
5023795.00	1.00
5023799.00	0.00
5023808.00	1.00
5023843.00	0.00
5023854.00	1.00
5023856.00	0.00
5023867.00	1.00
5023879.00	0.00
5023886.00	1.00
5023891.00	0.00
5023898.00	1.00
5024090.00	0.00
5024107.00	1.00
5024115.00	0.00
5024128.00	1.00
5024132.00	0.00
5024145.00	1.00
5024150.00	0.00
5024163.00	1.00
5024168.00	0.00
5024181.00	1.00
