time	count
0.00	0.00
5005665.00	1.00
5005691.00	0.00
5005731.00	1.00
5005778.00	0.00
5005804.00	1.00
5005933.00	0.00
5006479.00	1.00
5006494.00	0.00
5006519.00	1.00
5006529.00	0.00
5006547.00	1.00
5007148.00	0.00
5007176.00	1.00
5007206.00	0.00
5007226.00	1.00
5007228.00	0.00
5007242.00	1.00
5007244.00	0.00
5007251.00	1.00
5007252.00	0.00
5007266.00	1.00
5007269.00	0.00
5007277.00	0.00
5007286.00	0.00
5007297.00	1.00
5007298.00	0.00
5007310.00	1.00
5007315.00	0.00
5007327.00	1.00
5007329.00	0.00
5007344.00	1.00
5007357.00	0.00
5007372.00	1.00
5007376.00	0.00
5007392.00	1.00
5007395.00	0.00
5007410.00	1.00
5007425.00	0.00
5007448.00	1.00
5007454.00	0.00
5007473.00	1.00
5007485.00	0.00
5007506.00	1.00
5007514.00	0.00
5007534.00	1.00
5007547.00	0.00
5007566.00	1.00
5007578.00	0.00
5007598.00	1.00
5007602.00	0.00
5007622.00	1.00
5008281.00	0.00
5008311.00	1.00
5008325.00	0.00
5008348.00	1.00
5008362.00	0.00
5008387.00	1.00
5008418.00	0.00
5008443.00	1.00
5008450.00	0.00
5008476.00	1.00
5008482.00	0.00
5008504.00	1.00
5008510.00	0.00
5008531.00	1.00
5008537.00	0.00
5008558.00	1.00
5008564.00	0.00
5008588.00	1.00
5008594.00	0.00
5008616.00	1.00
5008623.00	0.00
5008644.00	1.00
5012964.00	0.00
5012999.00	1.00
5020897.00	0.00
5020943.00	1.00
5024377.00	0.00
5024396.00	1.00
5024406.00	0.00
5024422.00	1.00
5025022.00	0.00
5025040.00	1.00
5025081.00	0.00
5025093.00	1.00
5025102.00	0.00
5025116.00	1.00
5025125.00	0.00
5025134.00	1.00
5025141.00	0.00
5025160.00	1.00
5025169.00	0.00
5025192.00	1.00
5025203.00	0.00
5025223.00	1.00
5025232.00	0.00
5025251.00	1.00
5025260.00	0.00
5025270.00	1.00
5025280.00	0.00
5025295.00	1.00
5025306.00	0.00
5025320.00	1.00
5025324.00	0.00
5025345.00	1.00
5025350.00	0.00
5025363.00	1.00
5025399.00	0.00
5025413.00	1.00
5025698.00	0.00
5025711.00	1.00
5025726.00	0.00
5025741.00	1.00
5025747.00	0.00
5025759.00	1.00
5025763.00	0.00
5025773.00	1.00
5025802.00	0.00
5025807.00	1.00
5025808.00	0.00
5025817.00	1.00
5025825.00	0.00
5025845.00	1.00
5025848.00	0.00
5025852.00	1.00
5026054.00	0.00
5026072.00	1.00
5026081.00	0.00
5026095.00	1.00
5026099.00	0.00
5026113.00	1.00
