level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
3	5026749	5026762	#000000	1.0	Intersection						7288
3	5026904	5026905	#000000	1.0	Intersection						8397
3	5027294	5027295	#000000	1.0	Intersection						3388
3	5027415	5027415	#000000	1.0	Intersection						3389
3	5027522	5027522	#000000	1.0	Intersection						3390
3	5027930	5027931	#000000	1.0	Intersection						3391
3	5028049	5028050	#000000	1.0	Intersection						3392
3	5028164	5028165	#000000	1.0	Intersection						3393
3	5028274	5028274	#000000	1.0	Intersection						3394
3	5028616	5028617	#000000	1.0	Intersection						3395
3	5028732	5028733	#000000	1.0	Intersection						3396
3	5028850	5028850	#000000	1.0	Intersection						3397
3	5029243	5029244	#000000	1.0	Intersection						3398
3	5029393	5029394	#000000	1.0	Intersection						3399
3	5029535	5029536	#000000	1.0	Intersection						3400
3	5030061	5030062	#000000	1.0	Intersection						3401
3	5030207	5030208	#000000	1.0	Intersection						3402
3	5030350	5030351	#000000	1.0	Intersection						3403
3	5030499	5030500	#000000	1.0	Intersection						3404
3	5030679	5030680	#000000	1.0	Intersection						3405
