time	count
0.00	0.00
5005735.00	0.17
5005763.00	0.00
5005799.00	0.17
5005819.00	0.00
5005931.00	0.17
5005949.00	0.33
5005963.00	0.17
5006520.00	0.33
5006521.00	0.17
5006543.00	0.33
5006555.00	0.17
5006889.00	0.00
5007174.00	0.17
5007185.00	0.00
5007215.00	0.17
5007226.00	0.33
5007228.00	0.17
5007238.00	0.00
5007242.00	0.17
5007251.00	0.00
5007252.00	0.17
5007254.00	0.00
5007256.00	0.17
5007264.00	0.00
5007266.00	0.17
5007270.00	0.00
5007277.00	0.00
5007285.00	0.17
5007287.00	0.00
5007290.00	0.17
5007296.00	0.17
5007310.00	0.17
5007311.00	0.00
5007318.00	0.17
5007322.00	0.00
5007328.00	0.17
5007329.00	0.00
5007332.00	0.17
5007336.00	0.00
5007345.00	0.17
5007351.00	0.00
5007360.00	0.17
5007367.00	0.00
5007369.00	0.17
5007370.00	0.00
5007380.00	0.17
5007388.00	0.00
5007390.00	0.17
5007391.00	0.00
5007398.00	0.17
5007401.00	0.00
5007410.00	0.17
5007411.00	0.00
5007425.00	0.17
5007431.00	0.00
5007447.00	0.17
5007448.00	0.00
5007456.00	0.17
5007461.00	0.00
5007471.00	0.17
5007472.00	0.00
5007486.00	0.17
5007491.00	0.00
5007501.00	0.17
5007507.00	0.00
5007515.00	0.17
5007526.00	0.00
5007530.00	0.17
5007531.00	0.00
5007549.00	0.17
5007554.00	0.00
5007566.00	0.17
5007567.00	0.00
5007579.00	0.17
5007584.00	0.00
5007594.00	0.17
5007595.00	0.00
5007605.00	0.17
5007619.00	0.17
5008317.00	0.33
5008319.00	0.17
5008347.00	0.33
5008354.00	0.17
5008393.00	0.33
5008395.00	0.17
5008439.00	0.33
5008440.00	0.17
5008468.00	0.17
5008501.00	0.33
5008510.00	0.17
5008528.00	0.17
5008553.00	0.33
5008554.00	0.17
5008582.00	0.33
5008584.00	0.17
5008616.00	0.33
5008617.00	0.17
5008640.00	0.33
5008641.00	0.17
5012845.00	0.00
5012999.00	0.17
5013001.00	0.00
5020948.00	0.17
5020952.00	0.00
5024397.00	0.17
5024399.00	0.00
5024422.00	0.17
5024427.00	0.00
5024634.00	0.17
5024637.00	0.00
5025019.00	0.17
5025042.00	0.33
5025047.00	0.17
5025094.00	0.33
5025096.00	0.17
5025115.00	0.33
5025117.00	0.17
5025137.00	0.33
5025139.00	0.17
5025158.00	0.33
5025159.00	0.17
5025177.00	0.00
5025181.00	0.17
5025182.00	0.00
5025184.00	0.17
5025196.00	0.00
5025220.00	0.17
5025231.00	0.00
5025256.00	0.17
5025265.00	0.00
5025273.00	0.17
5025275.00	0.00
5025293.00	0.17
5025295.00	0.00
5025318.00	0.17
5025319.00	0.00
5025339.00	0.17
5025341.00	0.00
5025361.00	0.17
5025364.00	0.00
5025412.00	0.17
5025413.00	0.00
5025651.00	0.17
5025654.00	0.00
5025692.00	0.00
5025711.00	0.17
5025712.00	0.00
5025715.00	0.00
5025742.00	0.17
5025743.00	0.00
5025748.00	0.00
5025760.00	0.00
5025772.00	0.17
5025773.00	0.00
5025774.00	0.17
5025775.00	0.00
5025808.00	0.00
5025811.00	0.17
5025813.00	0.00
5025817.00	0.17
5025818.00	0.00
5025841.00	0.00
5025844.00	0.17
5025850.00	0.00
5025854.00	0.00
5025873.00	0.17
5025876.00	0.33
5025877.00	0.17
5025923.00	0.00
5025943.00	0.17
5025945.00	0.00
5026073.00	0.17
5026074.00	0.00
5026096.00	0.17
5026098.00	0.00
5026113.00	0.17
5026117.00	0.00
5026130.00	0.17
5026132.00	0.00
5026148.00	0.17
5026149.00	0.00
5026168.00	0.17
5026170.00	0.00
5026185.00	0.17
5026194.00	0.00
5026196.00	0.17
5026197.00	0.00
5026240.00	0.17
5026241.00	0.00
5026657.00	0.17
5026775.00	0.33
5026778.00	0.17
5026825.00	0.33
5026916.00	0.50
5026917.00	0.33
5026970.00	0.50
5029218.00	0.67
5031823.00	0.83
5031826.00	1.00
5041644.00	0.83
5041661.00	1.00
5043348.00	0.83
5043368.00	1.00
5044387.00	0.83
5044401.00	1.00
5044892.00	0.83
5044902.00	1.00
5045558.00	0.83
5045589.00	1.00
5050787.00	0.83
5050822.00	1.00
5054899.00	0.83
5054914.00	1.00
5055880.00	0.83
5055899.00	1.00
5058268.00	0.83
5058277.00	1.00
5058286.00	0.83
5058294.00	1.00
5058740.00	0.83
5058769.00	1.00
5064029.00	0.83
5064057.00	1.00
5067891.00	0.83
5067907.00	1.00
5068106.00	0.83
5068117.00	1.00
5070854.00	0.83
5070865.00	1.00
5070866.00	0.83
5070873.00	1.00
5070874.00	0.83
5070898.00	0.83
5071352.00	0.67
5071359.00	0.67
5071372.00	0.83
5071373.00	0.67
5071441.00	0.67
5074081.00	0.50
5074113.00	0.67
5074115.00	0.83
5074116.00	0.67
5074117.00	0.50
5076887.00	0.33
5076905.00	0.50
5076907.00	0.33
5076924.00	0.50
5076928.00	0.33
5076952.00	0.50
5076953.00	0.33
5080900.00	0.17
5080919.00	0.33
5080920.00	0.17
5080921.00	0.33
5080922.00	0.17
5080949.00	0.33
5080951.00	0.17
5080988.00	0.00
5081005.00	0.17
5081006.00	0.00
5081009.00	0.17
5081013.00	0.00
5081014.00	0.17
5081017.00	0.33
5081022.00	0.50
5081028.00	0.67
5081033.00	0.83
5081043.00	1.00
5114196.00	0.83
5114215.00	1.00
5115862.00	0.83
5115879.00	1.00
5120068.00	0.83
5120098.00	1.00
5120587.00	0.83
5120599.00	1.00
5121342.00	0.83
5121356.00	1.00
5122739.00	0.83
5122757.00	1.00
5149393.00	0.83
5149406.00	1.00
5149765.00	0.83
5149776.00	1.00
5155860.00	0.83
5155901.00	1.00
5156551.00	0.83
5156566.00	1.00
5156876.00	0.83
5156898.00	1.00
5159365.00	0.83
5159380.00	1.00
5182968.00	0.83
5182983.00	1.00
5183068.00	0.83
5183082.00	1.00
5188848.00	0.83
5188876.00	1.00
5188880.00	0.83
5188882.00	1.00
5188883.00	0.83
5188899.00	1.00
5188900.00	0.83
5191450.00	0.67
5191469.00	0.83
5191470.00	0.67
5191472.00	0.67
5191554.00	0.83
5191555.00	0.67
5191569.00	0.83
5191571.00	0.67
5191768.00	0.50
5191782.00	0.67
5191783.00	0.50
5191794.00	0.67
5191795.00	0.50
5191824.00	0.67
5191826.00	0.50
5191843.00	0.50
5194546.00	0.33
5194566.00	0.50
5194568.00	0.33
5194579.00	0.50
5194580.00	0.33
5194614.00	0.50
5194615.00	0.33
5194631.00	0.33
5217667.00	0.17
5217687.00	0.33
5217688.00	0.17
5217690.00	0.33
5217691.00	0.17
5217718.00	0.33
5217720.00	0.17
5217751.00	0.33
5217757.00	0.17
5218056.00	0.00
5218076.00	0.17
5218077.00	0.00
5218098.00	0.17
5218107.00	0.33
5218108.00	0.50
5218112.00	0.67
5218116.00	0.83
5218145.00	1.00
5218152.00	0.67
5218163.00	0.83
5218165.00	1.00
5218184.00	0.83
5218192.00	1.00
5218212.00	0.83
5218214.00	0.67
5218222.00	0.83
5218225.00	0.67
5218232.00	0.50
5218241.00	0.67
5218243.00	0.50
5218252.00	0.67
5218261.00	0.83
5218262.00	0.83
5218267.00	0.67
5218277.00	0.83
5218284.00	0.67
5218301.00	0.67
5218313.00	0.17
5218314.00	0.33
5218323.00	0.17
5218335.00	0.33
5218337.00	0.50
5218338.00	0.67
5218344.00	1.00
5218345.00	0.83
5218347.00	0.67
5218348.00	0.50
5218352.00	0.67
5218353.00	0.50
5218355.00	0.67
5218356.00	0.50
5218357.00	0.67
5218359.00	0.83
5218360.00	1.00
5218361.00	0.67
5218362.00	0.50
5218364.00	0.67
5218365.00	0.50
5218366.00	0.17
5218367.00	0.50
5218368.00	0.33
5218369.00	0.17
5218371.00	0.33
5218372.00	0.33
5218373.00	0.17
5218376.00	0.33
5218378.00	0.50
5218379.00	0.67
5218380.00	0.50
5218381.00	0.17
5218383.00	0.33
5218384.00	0.33
5218386.00	0.50
5218387.00	0.33
5218389.00	0.17
5218394.00	0.00
5218403.00	0.17
5218416.00	0.33
5218419.00	0.67
5218422.00	0.83
5218444.00	1.00
5231082.00	0.83
5231092.00	1.00
5231318.00	0.83
5231337.00	1.00
5232162.00	0.83
5232173.00	0.67
5232175.00	0.83
5232180.00	1.00
5235140.00	0.83
5235158.00	1.00
5235210.00	0.83
5235223.00	1.00
5243624.00	0.83
5243651.00	1.00
5244159.00	0.83
5244174.00	1.00
5245170.00	0.83
5245201.00	1.00
5246048.00	0.83
5246060.00	1.00
5248462.00	0.83
5248488.00	1.00
5249005.00	0.83
5249021.00	1.00
5256087.00	0.83
5256101.00	1.00
5256500.00	0.83
5256512.00	1.00
5257365.00	0.83
5257376.00	1.00
5257377.00	0.83
5257379.00	1.00
5257380.00	0.83
5258853.00	0.67
5258870.00	0.83
5258872.00	0.67
5258875.00	0.83
5258877.00	0.67
5258955.00	0.83
5258956.00	0.67
5261820.00	0.50
5261839.00	0.67
5261840.00	0.50
5261842.00	0.67
5261843.00	0.50
5261877.00	0.50
5262286.00	0.33
5262302.00	0.50
5262303.00	0.33
5262326.00	0.50
5262327.00	0.33
5262355.00	0.50
5262359.00	0.33
5269025.00	0.17
5269053.00	0.33
5269055.00	0.17
5269072.00	0.33
5269075.00	0.17
5269440.00	0.00
5269460.00	0.17
5269462.00	0.00
5269475.00	0.17
5269487.00	0.33
5269498.00	0.50
5269507.00	0.83
5269515.00	1.00
5303048.00	0.83
5303117.00	1.00
5304599.00	0.83
5304613.00	1.00
5306583.00	0.83
5306604.00	1.00
5309418.00	0.83
5309435.00	1.00
5310108.00	0.83
5310124.00	1.00
5311699.00	0.83
5311711.00	1.00
5337575.00	0.83
5337593.00	1.00
5338235.00	0.83
5338251.00	1.00
5344137.00	0.83
5344159.00	1.00
5344915.00	0.83
5344938.00	1.00
5345246.00	0.83
5345266.00	1.00
5347864.00	0.83
5347880.00	1.00
5371175.00	0.83
5371191.00	1.00
5371606.00	0.83
5371622.00	1.00
5377733.00	0.83
5377757.00	1.00
5377760.00	0.83
5377785.00	1.00
5377787.00	0.83
5379356.00	0.67
5379369.00	0.83
5379371.00	0.67
5379383.00	0.83
5379384.00	0.67
5379517.00	0.83
5379519.00	0.67
5380672.00	0.50
5380697.00	0.67
5380699.00	0.50
5380713.00	0.67
5380714.00	0.50
5380753.00	0.67
5380754.00	0.50
5382685.00	0.33
5382700.00	0.50
5382701.00	0.33
5382705.00	0.50
5382708.00	0.33
5382752.00	0.50
5382754.00	0.33
5405818.00	0.17
5405847.00	0.33
5405851.00	0.17
5405884.00	0.33
5405887.00	0.17
5405957.00	0.33
5405969.00	0.17
5405992.00	0.33
5405994.00	0.17
5406725.00	0.00
5406745.00	0.17
5406748.00	0.00
5406756.00	0.17
5406759.00	0.33
5406763.00	0.17
5406768.00	0.33
5406786.00	0.50
5406789.00	0.67
5406800.00	0.83
5406810.00	1.00
5406824.00	0.83
5406831.00	0.67
5406843.00	0.50
5406853.00	0.33
5406861.00	0.50
5406862.00	0.33
5406863.00	0.50
5406864.00	0.83
5406885.00	1.00
5406887.00	0.83
5406898.00	0.67
5406901.00	0.50
5406922.00	0.33
5406950.00	0.17
5406973.00	0.00
5407052.00	0.17
5407056.00	0.33
5407059.00	0.50
5407060.00	0.67
5407063.00	0.83
5407068.00	1.00
5407092.00	0.83
5407094.00	0.67
5407104.00	0.83
5407109.00	0.67
5407116.00	0.50
5407122.00	0.67
5407123.00	0.83
5407128.00	0.67
5407129.00	0.50
5407133.00	0.67
5407141.00	0.83
5407142.00	0.67
5407144.00	0.50
5407146.00	0.67
5407147.00	0.50
5407148.00	0.33
5407151.00	0.33
5407152.00	0.33
5407153.00	0.50
5407154.00	0.67
5407155.00	0.33
5407156.00	0.17
5407158.00	0.50
5407159.00	0.33
5407161.00	0.33
5407162.00	0.17
5407164.00	0.00
5407165.00	0.17
5407166.00	0.17
5407167.00	0.00
5407168.00	0.17
5407170.00	0.33
5407173.00	0.17
5407176.00	0.33
5407180.00	0.17
5407183.00	0.17
5407185.00	0.00
5407215.00	0.17
5407250.00	0.33
5407255.00	0.50
5407258.00	0.67
5407268.00	0.83
5407313.00	1.00
5420589.00	0.83
5420603.00	1.00
5420729.00	0.83
5420744.00	1.00
5421103.00	0.83
5421117.00	1.00
5421613.00	0.83
5421624.00	1.00
5425446.00	0.83
5425467.00	1.00
5427011.00	0.83
5427036.00	1.00
