time	count
0.00	0.00
5005837.00	0.17
5005846.00	0.00
5005904.00	0.17
5005928.00	0.00
5006043.00	0.17
5006061.00	0.33
5006075.00	0.17
5006861.00	0.33
5006863.00	0.17
5006922.00	0.33
5006927.00	0.17
5007228.00	0.33
5007230.00	0.17
5007252.00	0.33
5007253.00	0.17
5007275.00	0.33
5007276.00	0.17
5007298.00	0.33
5007299.00	0.17
5007304.00	0.33
5007305.00	0.17
5007310.00	0.33
5007315.00	0.17
5007318.00	0.33
5007319.00	0.17
5008138.00	0.33
5008163.00	0.17
5008168.00	0.33
5008170.00	0.17
5008202.00	0.33
5008204.00	0.17
5008253.00	0.33
5008255.00	0.17
5008273.00	0.33
5008293.00	0.50
5008294.00	0.33
5008305.00	0.17
5008313.00	0.33
5008314.00	0.17
5008333.00	0.33
5008334.00	0.17
5008349.00	0.33
5008351.00	0.17
5008368.00	0.33
5008369.00	0.17
5008386.00	0.33
5008387.00	0.17
5011716.00	0.00
5013104.00	0.17
5013109.00	0.00
5016332.00	0.17
5016334.00	0.00
5019628.00	0.17
5019632.00	0.00
5024207.00	0.17
5024230.00	0.00
5027236.00	0.17
5027239.00	0.00
5029042.00	0.17
5029045.00	0.00
5029074.00	0.17
5029076.00	0.00
5029319.00	0.17
5029323.00	0.00
5029800.00	0.17
5029812.00	0.33
5029822.00	0.17
5029877.00	0.33
5029878.00	0.17
5029908.00	0.33
5029909.00	0.17
5029942.00	0.33
5029943.00	0.17
5029967.00	0.33
5029968.00	0.17
5029999.00	0.33
5030000.00	0.17
5030014.00	0.00
5030023.00	0.17
5030026.00	0.00
5030029.00	0.17
5030032.00	0.00
5030071.00	0.17
5030074.00	0.00
5030108.00	0.17
5030111.00	0.00
5030159.00	0.17
5030161.00	0.00
5030176.00	0.17
5030181.00	0.00
5030202.00	0.17
5030203.00	0.00
5030259.00	0.17
5030260.00	0.00
5030355.00	0.17
5030356.00	0.00
5030744.00	0.17
5030746.00	0.00
5030801.00	0.17
5030802.00	0.00
5030877.00	0.00
5030927.00	0.00
5030969.00	0.17
5030970.00	0.00
5031007.00	0.17
5031011.00	0.00
5031034.00	0.00
5031064.00	0.17
5031066.00	0.00
5031091.00	0.17
5031093.00	0.00
5031119.00	0.17
5031120.00	0.00
5031123.00	0.00
5031146.00	0.17
5031151.00	0.00
5031339.00	0.17
5031342.00	0.00
5031382.00	0.17
5031384.00	0.17
5031415.00	0.33
5031418.00	0.17
5031440.00	0.33
5031441.00	0.17
5031465.00	0.33
5031470.00	0.17
5031492.00	0.00
5031506.00	0.17
5031508.00	0.00
5031531.00	0.17
5031532.00	0.00
5031564.00	0.17
5031565.00	0.00
5031587.00	0.17
5031594.00	0.00
5031607.00	0.17
5031609.00	0.00
5031624.00	0.17
5031626.00	0.00
5031673.00	0.17
5031677.00	0.00
5031928.00	0.17
5031930.00	0.00
5031961.00	0.17
5031963.00	0.00
5031993.00	0.17
5031994.00	0.00
5032017.00	0.17
5032018.00	0.00
5032048.00	0.17
5032049.00	0.00
5032079.00	0.17
5032080.00	0.00
5032102.00	0.00
5032126.00	0.17
5032133.00	0.00
5032518.00	0.17
5032531.00	0.33
5032533.00	0.17
5032835.00	0.33
5032846.00	0.50
5032847.00	0.33
5033169.00	0.50
5033190.00	0.67
5033191.00	0.50
5033512.00	0.67
5033518.00	0.83
5033519.00	0.67
5033828.00	0.83
5033839.00	1.00
5033842.00	0.83
5034134.00	1.00
5077799.00	0.83
5077815.00	1.00
