time	count
0.00	0.00
5005766.00	1.00
5005792.00	0.00
5005832.00	1.00
5005881.00	0.00
5005904.00	1.00
5006046.00	0.00
5006812.00	1.00
5006828.00	0.00
5006877.00	1.00
5006891.00	0.00
5006922.00	1.00
5007203.00	0.00
5007228.00	1.00
5007231.00	0.00
5007257.00	1.00
5007258.00	0.00
5007278.00	1.00
5007279.00	0.00
5007294.00	1.00
5007295.00	0.00
5007300.00	1.00
5007301.00	0.00
5007306.00	0.00
5007313.00	1.00
5008109.00	0.00
5008136.00	1.00
5008146.00	0.00
5008170.00	1.00
5008182.00	0.00
5008202.00	1.00
5008222.00	0.00
5008253.00	1.00
5008259.00	0.00
5008275.00	1.00
5008281.00	0.00
5008294.00	1.00
5008301.00	0.00
5008316.00	1.00
5008320.00	0.00
5008335.00	1.00
5008338.00	0.00
5008354.00	1.00
5008357.00	0.00
5008372.00	1.00
5008375.00	0.00
5008391.00	1.00
5013068.00	0.00
5013117.00	1.00
5016301.00	0.00
5016341.00	1.00
5019567.00	0.00
5019630.00	1.00
5024163.00	0.00
5024210.00	1.00
5027202.00	0.00
5027237.00	1.00
5029004.00	0.00
5029040.00	1.00
5029053.00	0.00
5029073.00	1.00
5029800.00	0.00
5029817.00	1.00
5029855.00	0.00
5029877.00	1.00
5029892.00	0.00
5029910.00	1.00
5029921.00	0.00
5029940.00	1.00
5029953.00	0.00
5029969.00	1.00
5029979.00	0.00
5029997.00	1.00
5030010.00	0.00
5030046.00	1.00
5030055.00	0.00
5030074.00	1.00
5030090.00	0.00
5030110.00	1.00
5030136.00	0.00
5030156.00	1.00
5030164.00	0.00
5030177.00	1.00
5030186.00	0.00
5030203.00	1.00
5030243.00	0.00
5030262.00	1.00
5030975.00	0.00
5031006.00	1.00
5031022.00	0.00
5031067.00	1.00
5031081.00	0.00
5031121.00	1.00
5031127.00	0.00
5031142.00	1.00
5031352.00	0.00
5031376.00	1.00
5031399.00	0.00
5031416.00	1.00
5031425.00	0.00
5031441.00	1.00
5031451.00	0.00
5031467.00	1.00
5031490.00	0.00
5031506.00	1.00
5031546.00	0.00
5031564.00	1.00
5031570.00	0.00
5031585.00	1.00
5031590.00	0.00
5031605.00	1.00
5031610.00	0.00
5031624.00	1.00
5031654.00	0.00
5031672.00	1.00
5031905.00	0.00
5031931.00	1.00
5031942.00	0.00
5031965.00	1.00
5031973.00	0.00
5031994.00	1.00
5032002.00	0.00
5032022.00	1.00
5032029.00	0.00
5032054.00	1.00
5032059.00	0.00
5032076.00	1.00
5032085.00	0.00
5032100.00	1.00
5032107.00	0.00
5032123.00	1.00
5032513.00	0.00
5032530.00	1.00
5032835.00	0.00
5032846.00	1.00
5033169.00	0.00
5033190.00	1.00
5033508.00	0.00
5033519.00	1.00
5033827.00	0.00
5033838.00	1.00
5034129.00	0.00
5034138.00	1.00
5034144.00	0.00
5034148.00	1.00
5034158.00	0.00
5034163.00	1.00
5034454.00	0.00
5034466.00	1.00
5034480.00	0.00
5034491.00	1.00
5034519.00	0.00
5034532.00	1.00
5034535.00	0.00
5034546.00	1.00
5034684.00	0.00
5034691.00	1.00
5034702.00	0.00
5034707.00	1.00
5034928.00	0.00
5034938.00	1.00
5034955.00	0.00
5034962.00	1.00
5034969.00	0.00
5034974.00	1.00
5034981.00	0.00
5034987.00	1.00
5034993.00	0.00
5034998.00	1.00
5035005.00	0.00
5035010.00	1.00
5035017.00	0.00
5035022.00	1.00
5035510.00	0.00
5035519.00	1.00
5035988.00	0.00
5035996.00	1.00
5036441.00	0.00
5036449.00	1.00
5036917.00	0.00
5036926.00	1.00
5037381.00	0.00
5037391.00	1.00
5037861.00	0.00
5037871.00	1.00
5037915.00	0.00
5037923.00	1.00
5037930.00	0.00
5037937.00	1.00
5037940.00	0.00
5037949.00	1.00
5037952.00	0.00
5037958.00	1.00
5037961.00	0.00
5037967.00	1.00
5037971.00	0.00
5037977.00	1.00
5037984.00	0.00
5037989.00	1.00
5037992.00	0.00
5037997.00	1.00
5038000.00	0.00
5038005.00	1.00
5038008.00	0.00
5038013.00	1.00
5038166.00	0.00
5038174.00	1.00
5038189.00	0.00
5038195.00	1.00
5038200.00	0.00
5038204.00	1.00
5038209.00	0.00
5038213.00	1.00
5038218.00	0.00
5038222.00	1.00
5038228.00	0.00
5038233.00	1.00
5038241.00	0.00
5038245.00	1.00
5038596.00	0.00
5038605.00	1.00
5038962.00	0.00
5038972.00	1.00
5039287.00	0.00
5039296.00	1.00
5039829.00	0.00
5039836.00	1.00
5040076.00	0.00
5040084.00	1.00
5040352.00	0.00
