level	start	end	color	opacity	title	initiation	in	out	children	parents	prof_uid
4	5013612	5013748	#ff00aa	1.0	Copy size=184000	13					31
4	5074738	5074750	#ff00aa	1.0	Copy size=16000	16					806
4	5074801	5074812	#ff00aa	1.0	Copy size=48000	17					960
4	5202247	5202259	#ff00aa	1.0	Copy size=16000	20					33
4	5202296	5202392	#ff00aa	1.0	Copy size=48000	24					961
3	5202305	5202372	#ff00aa	1.0	Copy size=16000	21					809
2	5202310	5202355	#ff00aa	1.0	Copy size=16000	22					808
1	5202317	5202325	#ff00aa	1.0	Copy size=48000	23					807
4	5249834	5249843	#ff00aa	1.0	Copy size=16000	26					810
4	5249874	5249881	#ff00aa	1.0	Copy size=48000	27					962
4	5372747	5372756	#ff00aa	1.0	Copy size=16000	30					1290
4	5372801	5372874	#ff00aa	1.0	Copy size=16000	31					1292
3	5372806	5372840	#ff00aa	1.0	Copy size=16000	32					1291
2	5372810	5372819	#ff00aa	1.0	Copy size=48000	33					963
4	5372900	5372910	#ff00aa	1.0	Copy size=48000	34					964
